realisation,F1_RL,F1_RF,F1_tau,B_RL,B_RF,B_tau,dF_RL_RF,dB_RL_RF,dF_RL_tau,dB_RL_tau
75,0.9068157141345342,0.9117329517606445,0.9097351249503455,0.023648484848484853,0.0999030303030303,0.21915151515151515,-0.0049172376261102935,-0.07625454545454545,-0.002919410815811263,-0.1955030303030303
76,0.9067398739698963,0.9125747118717438,0.910278115680874,0.023636363636363643,0.10966060606060607,0.23915454545454548,-0.005834837901847467,-0.08602424242424242,-0.0035382417109777187,-0.21551818181818183
77,0.9067374918949358,0.9116724669156147,0.9095731766326277,0.023636363636363643,0.09695151515151515,0.21915151515151515,-0.004934975020678856,-0.0733151515151515,-0.0028356847376919125,-0.1955151515151515
78,0.9068526515497406,0.91271491469073,0.9100075895338907,0.023636363636363643,0.10572121212121212,0.21232121212121213,-0.0058622631409893655,-0.08208484848484848,-0.003154937984150119,-0.18868484848484848
79,0.9068375624461582,0.9116300871834564,0.908920528689036,0.02362424242424243,0.09306060606060607,0.1981727272727273,-0.004792524737298187,-0.06943636363636363,-0.0020829662428777374,-0.17454848484848487
80,0.9067262880172345,0.9115843497233072,0.9093164948905795,0.023612121212121216,0.09309696969696969,0.1981727272727273,-0.004858061706072614,-0.06948484848484848,-0.0025902068733449912,-0.17456060606060608
81,0.906724808397391,0.9113958123661239,0.9091699159661343,0.023648484848484853,0.09157272727272728,0.2064666666666667,-0.004671003968732879,-0.06792424242424243,-0.0024451075687432766,-0.18281818181818182
82,0.9067535421467792,0.911412519824101,0.9091226142983765,0.023612121212121216,0.09939090909090911,0.22403030303030305,-0.004658977677321818,-0.07577878787878789,-0.002369072151597318,-0.20041818181818183
83,0.9067928389991379,0.9120145588389172,0.9097078269998958,0.023648484848484853,0.10380606060606061,0.23183636363636365,-0.005221719839779371,-0.08015757575757576,-0.0029149880007579565,-0.20818787878787878
84,0.9068778522926447,0.9117690292522018,0.9092661624920567,0.02413636363636364,0.10135454545454546,0.21963939393939397,-0.0048911769595570975,-0.07721818181818182,-0.0023883101994119915,-0.19550303030303032
85,0.9068127830152282,0.9118643851000202,0.9095648160150083,0.023636363636363643,0.09646363636363636,0.21915151515151515,-0.005051602084792051,-0.07282727272727271,-0.0027520329997801074,-0.1955151515151515
86,0.9067662090634171,0.9111174597540235,0.9088033387386405,0.023636363636363643,0.09307272727272727,0.22305454545454548,-0.004351250690606379,-0.06943636363636363,-0.0020371296752234036,-0.19941818181818183
87,0.9067578266614132,0.9116450894626479,0.9090401269584522,0.02362424242424243,0.09501212121212123,0.22256666666666666,-0.0048872628012346375,-0.0713878787878788,-0.0022823002970389084,-0.19894242424242423
88,0.9068607287333843,0.9118152549396262,0.9090257747829433,0.024100000000000003,0.09304848484848484,0.226469696969697,-0.004954526206241927,-0.06894848484848484,-0.0021650460495590274,-0.20236969696969698
89,0.9068278746429681,0.9122045193916922,0.9099295927786817,0.023636363636363643,0.1071969696969697,0.22061515151515154,-0.005376644748724124,-0.08356060606060606,-0.0031017181357135826,-0.1969787878787879
90,0.9067706895135738,0.9117355174982391,0.909401156689819,0.023672727272727276,0.09792727272727274,0.21622424242424243,-0.004964827984665354,-0.07425454545454546,-0.002630467176245266,-0.19255151515151514
91,0.9068918104802042,0.9115522546314894,0.9089882650607034,0.024112121212121213,0.09552424242424244,0.2098818181818182,-0.004660444151285192,-0.07141212121212123,-0.0020964545804992296,-0.18576969696969697
92,0.9067109915213811,0.911807458934083,0.9093162377485702,0.02362424242424243,0.09793939393939395,0.22207878787878788,-0.005096467412701866,-0.07431515151515153,-0.002605246227189051,-0.19845454545454544
93,0.9067479289295197,0.9114331970950807,0.908714923114563,0.023600000000000003,0.09746363636363636,0.21036969696969698,-0.0046852681655610295,-0.07386363636363635,-0.0019669941850433137,-0.18676969696969697
94,0.9067985552975288,0.9119198028089441,0.9093601858463012,0.023587878787878793,0.09840303030303031,0.20061212121212124,-0.0051212475114152944,-0.07481515151515152,-0.0025616305487723423,-0.17702424242424245
95,0.9067197244205708,0.9112544760551017,0.9089329424141599,0.023636363636363643,0.09747575757575758,0.22061515151515151,-0.004534751634530876,-0.07383939393939393,-0.0022132179935890894,-0.19697878787878786
96,0.9067626226965432,0.9120899163432522,0.9094481255720775,0.023636363636363643,0.10233030303030305,0.20744242424242423,-0.00532729364670903,-0.0786939393939394,-0.0026855028755343735,-0.18380606060606058
97,0.9067693411272185,0.9116528424729328,0.9090637880181096,0.024100000000000003,0.10086666666666667,0.21280909090909092,-0.004883501345714247,-0.07676666666666668,-0.0022944468908910887,-0.1887090909090909
98,0.906766687943575,0.912099472217149,0.9100667978008904,0.023612121212121216,0.10234242424242425,0.23183636363636367,-0.005332784273574087,-0.07873030303030304,-0.0033001098573154364,-0.20822424242424245
