fold_scene,candidate_index,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,lam,n_frames,realised_f1,realised_payload
2021_09_11_00_33_16,8,400,10.0,2,sqrt,balanced,0.02,16412,0.8488282654103327,0.0
2021_08_20_21_48_35,9,400,10.0,2,sqrt,balanced,0.05,2464,0.8785341868384571,0.0011957183441558444
2021_08_21_17_30_41,9,400,10.0,2,sqrt,balanced,0.05,3454,0.9016913802126237,0.0010295309785755648
2021_08_22_13_37_16,9,400,10.0,2,sqrt,balanced,0.05,2970,0.9531775257516587,0.0006079124579124579
2021_08_22_22_01_17,9,400,10.0,2,sqrt,balanced,0.05,4444,0.9432762926294512,0.0005183393339333933
2021_08_23_10_51_24,9,400,10.0,2,sqrt,balanced,0.05,1408,0.856598764554867,0.000992365056818182
2021_08_23_13_17_21,9,400,10.0,2,sqrt,balanced,0.05,1056,0.8570574876595979,0.0008593750000000001
2021_08_23_19_42_07,9,400,10.0,2,sqrt,balanced,0.05,1254,0.8204150991343213,0.0007832934609250399
2021_09_09_19_27_35,9,400,10.0,2,sqrt,balanced,0.05,10098,0.6404822124269531,0.0013558130322836209
2021_09_11_00_33_16,9,400,10.0,2,sqrt,balanced,0.05,16412,0.8495242343536512,4.408359736777968e-05
2021_08_20_21_48_35,10,400,10.0,2,sqrt,balanced,0.1,2464,0.8785338398707309,0.001194805194805195
2021_08_21_17_30_41,10,400,10.0,2,sqrt,balanced,0.1,3454,0.9016913802126237,0.0010295309785755648
2021_08_22_13_37_16,10,400,10.0,2,sqrt,balanced,0.1,2970,0.9550689309754121,0.0006881313131313132
2021_08_22_22_01_17,10,400,10.0,2,sqrt,balanced,0.1,4444,0.9432749051240279,0.000518001800180018
2021_08_23_10_51_24,10,400,10.0,2,sqrt,balanced,0.1,1408,0.8565898981796171,0.000978693181818182
2021_08_23_13_17_21,10,400,10.0,2,sqrt,balanced,0.1,1056,0.8594161065577113,0.0009114583333333335
2021_08_23_19_42_07,10,400,10.0,2,sqrt,balanced,0.1,1254,0.8204047773360269,0.0007579744816586922
2021_09_09_19_27_35,10,400,10.0,2,sqrt,balanced,0.1,10098,0.640480322221533,0.0012897851059615769
2021_09_11_00_33_16,10,400,10.0,2,sqrt,balanced,0.1,16412,0.85058626598231,0.0001755575188886181
2021_08_20_21_48_35,11,400,10.0,2,sqrt,balanced,0.2,2464,0.8785329361723038,0.0011885146103896107
2021_08_21_17_30_41,11,400,10.0,2,sqrt,balanced,0.2,3454,0.9016913802126237,0.0010295309785755648
2021_08_22_13_37_16,11,400,10.0,2,sqrt,balanced,0.2,2970,0.953981095407462,0.0006319023569023569
2021_08_22_22_01_17,11,400,10.0,2,sqrt,balanced,0.2,4444,0.943270932663083,0.0005171579657965797
2021_08_23_10_51_24,11,400,10.0,2,sqrt,balanced,0.2,1408,0.856491367345367,0.0009669744318181818
2021_08_23_13_17_21,11,400,10.0,2,sqrt,balanced,0.2,1056,0.8558096805486168,0.0007992424242424243
2021_08_23_19_42_07,11,400,10.0,2,sqrt,balanced,0.2,1254,0.8203763253667087,0.0007109250398724083
2021_09_09_19_27_35,11,400,10.0,2,sqrt,balanced,0.2,10098,0.6404801121685411,0.0012841651812240049
2021_09_11_00_33_16,11,400,10.0,2,sqrt,balanced,0.2,16412,0.8580775711600985,0.000997760784791616
2021_08_20_21_48_35,12,400,10.0,2,sqrt,balanced,0.35,2464,0.8784985648939986,0.0011750202922077926
2021_08_21_17_30_41,12,400,10.0,2,sqrt,balanced,0.35,3454,0.9016913802126237,0.0010295309785755648
2021_08_22_13_37_16,12,400,10.0,2,sqrt,balanced,0.35,2970,0.9539422698218356,0.0006462121212121211
2021_08_22_22_01_17,12,400,10.0,2,sqrt,balanced,0.35,4444,0.9432740739795439,0.0005174392439243925
2021_08_23_10_51_24,12,400,10.0,2,sqrt,balanced,0.35,1408,0.8563697210954654,0.0009605823863636363
2021_08_23_13_17_21,12,400,10.0,2,sqrt,balanced,0.35,1056,0.8603332114618549,0.0008761837121212123
2021_08_23_19_42_07,12,400,10.0,2,sqrt,balanced,0.35,1254,0.8204084491386513,0.0007147129186602871
2021_09_09_19_27_35,12,400,10.0,2,sqrt,balanced,0.35,10098,0.6404800644931917,0.0012839176074470194
2021_09_11_00_33_16,12,400,10.0,2,sqrt,balanced,0.35,16412,0.8602471537021334,0.001247836948574214
2021_08_20_21_48_35,13,400,10.0,2,sqrt,balanced,0.5,2464,0.878528271564103,0.0011615259740259743
2021_08_21_17_30_41,13,400,10.0,2,sqrt,balanced,0.5,3454,0.9016913802126237,0.0010295309785755648
2021_08_22_13_37_16,13,400,10.0,2,sqrt,balanced,0.5,2970,0.954586509629785,0.000655050505050505
2021_08_22_22_01_17,13,400,10.0,2,sqrt,balanced,0.5,4444,0.9430322891272778,0.0005007313231323133
2021_08_23_10_51_24,13,400,10.0,2,sqrt,balanced,0.5,1408,0.8562211247340936,0.0009509943181818182
2021_08_23_13_17_21,13,400,10.0,2,sqrt,balanced,0.5,1056,0.855095691136734,0.0007810132575757577
2021_08_23_19_42_07,13,400,10.0,2,sqrt,balanced,0.5,1254,0.820314716990447,0.0006806220095693779
2021_09_09_19_27_35,13,400,10.0,2,sqrt,balanced,0.5,10098,0.6404799955213737,0.0012834224598930481
2021_09_11_00_33_16,13,400,10.0,2,sqrt,balanced,0.5,16412,0.8538253136034675,0.0004462740677553011
2021_08_20_21_48_35,14,400,10.0,2,0.5,,0.0,2464,0.8885532699702324,2.1284472402597405
2021_08_21_17_30_41,14,400,10.0,2,0.5,,0.0,3454,0.9145636191617281,1.8770524030110023
2021_08_22_13_37_16,14,400,10.0,2,0.5,,0.0,2970,0.96052325969515,1.404098484848485
2021_08_22_22_01_17,14,400,10.0,2,0.5,,0.0,4444,0.9493664370323939,1.636914266426643
2021_08_23_10_51_24,14,400,10.0,2,0.5,,0.0,1408,0.8675233516609644,1.5112212357954546
2021_08_23_13_17_21,14,400,10.0,2,0.5,,0.0,1056,0.8704564266035748,1.5565388257575759
2021_08_23_19_42_07,14,400,10.0,2,0.5,,0.0,1254,0.8222124075294459,2.317631977671452
2021_09_09_19_27_35,14,400,10.0,2,0.5,,0.0,10098,0.6721009375237353,1.349003367003367
2021_09_11_00_33_16,14,400,10.0,2,0.5,,0.0,16412,0.8798832747245283,2.188238682061906
2021_08_20_21_48_35,15,400,10.0,2,0.5,,0.02,2464,0.87938747906914,0.11338920454545455
2021_08_21_17_30_41,15,400,10.0,2,0.5,,0.02,3454,0.9064959539015606,0.4456352055587725
2021_08_22_13_37_16,15,400,10.0,2,0.5,,0.02,2970,0.9489323221902813,0.0004963804713804714
2021_08_22_22_01_17,15,400,10.0,2,0.5,,0.02,4444,0.9434092684492714,0.0005858460846084609
2021_08_23_10_51_24,15,400,10.0,2,0.5,,0.02,1408,0.8557051796208438,0.0010225497159090907
2021_08_23_13_17_21,15,400,10.0,2,0.5,,0.02,1056,0.860545452902512,0.006930397727272727
2021_08_23_19_42_07,15,400,10.0,2,0.5,,0.02,1254,0.8204163577102683,0.0007980462519936205
2021_09_09_19_27_35,15,400,10.0,2,0.5,,0.02,10098,0.6405520999641812,0.01855067835214894
2021_09_11_00_33_16,15,400,10.0,2,0.5,,0.02,16412,0.8504909007003084,0.08059205154764806
2021_08_20_21_48_35,16,400,10.0,2,0.5,,0.05,2464,0.8775132145516904,0.0011491477272727276
2021_08_21_17_30_41,16,400,10.0,2,0.5,,0.05,3454,0.9017002008689179,0.0010469021424435439
2021_08_22_13_37_16,16,400,10.0,2,0.5,,0.05,2970,0.9540204702815055,0.0006988215488215488
2021_08_22_22_01_17,16,400,10.0,2,0.5,,0.05,4444,0.9432881726232941,0.0005225022502250226
2021_08_23_10_51_24,16,400,10.0,2,0.5,,0.05,1408,0.8543372731779878,0.0009263139204545454
2021_08_23_13_17_21,16,400,10.0,2,0.5,,0.05,1056,0.8610603356715579,0.0009869791666666668
2021_08_23_19_42_07,16,400,10.0,2,0.5,,0.05,1254,0.8203905040554733,0.0007811004784688994
2021_09_09_19_27_35,16,400,10.0,2,0.5,,0.05,10098,0.6404825815460854,0.0013716329966329968
2021_09_11_00_33_16,16,400,10.0,2,0.5,,0.05,16412,0.854384796536927,0.0005496283207409213
2021_08_20_21_48_35,17,400,10.0,2,0.5,,0.1,2464,0.8765578321487258,0.0010844155844155848
2021_08_21_17_30_41,17,400,10.0,2,0.5,,0.1,3454,0.9016914227533352,0.0010299652576722643
2021_08_22_13_37_16,17,400,10.0,2,0.5,,0.1,2970,0.9552001523021186,0.0007093434343434343
2021_08_22_22_01_17,17,400,10.0,2,0.5,,0.1,4444,0.9432859379532488,0.0005208145814581458
2021_08_23_10_51_24,17,400,10.0,2,0.5,,0.1,1408,0.8543295569684072,0.0008934659090909091
2021_08_23_13_17_21,17,400,10.0,2,0.5,,0.1,1056,0.861530394609393,0.0009985795454545456
2021_08_23_19_42_07,17,400,10.0,2,0.5,,0.1,1254,0.8202972108409289,0.0007460127591706539
2021_09_09_19_27_35,17,400,10.0,2,0.5,,0.1,10098,0.6400950307775438,0.0013601455733808676
2021_09_11_00_33_16,17,400,10.0,2,0.5,,0.1,16412,0.8639465362830313,0.0019678284182305635
2021_08_20_21_48_35,18,400,10.0,2,0.5,,0.2,2464,0.8774974796555006,0.0011237824675324676
2021_08_21_17_30_41,18,400,10.0,2,0.5,,0.2,3454,0.9016913802126237,0.0010295309785755648
