fold_scene,candidate_index,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,lambda,realised_f1,realised_payload
2021_08_22_13_37_16,19,400,10.0,2,0.5,,0.35,0.971686,0.024
2021_08_22_22_01_17,19,400,10.0,2,0.5,,0.35,0.890998,0.0
2021_08_23_10_51_24,19,400,10.0,2,0.5,,0.35,0.886513,0.024
2021_08_23_13_17_21,19,400,10.0,2,0.5,,0.35,0.91825,0.024
2021_08_23_19_42_07,19,400,10.0,2,0.5,,0.35,0.800953,0.024
2021_09_09_19_27_35,19,400,10.0,2,0.5,,0.35,0.799479,0.024
2021_09_11_00_33_16,19,400,10.0,2,0.5,,0.35,0.939523,0.023678
2021_08_20_21_48_35,20,400,10.0,2,0.5,,0.5,0.926765,0.023571
2021_08_21_17_30_41,20,400,10.0,2,0.5,,0.5,0.923348,0.024
2021_08_22_13_37_16,20,400,10.0,2,0.5,,0.5,0.971686,0.024
2021_08_22_22_01_17,20,400,10.0,2,0.5,,0.5,0.890998,0.0
2021_08_23_10_51_24,20,400,10.0,2,0.5,,0.5,0.886074,0.023625
2021_08_23_13_17_21,20,400,10.0,2,0.5,,0.5,0.91825,0.024
2021_08_23_19_42_07,20,400,10.0,2,0.5,,0.5,0.800953,0.024
2021_09_09_19_27_35,20,400,10.0,2,0.5,,0.5,0.799479,0.024
2021_09_11_00_33_16,20,400,10.0,2,0.5,,0.5,0.940869,0.023936
2021_08_20_21_48_35,21,400,10.0,2,0.5,balanced,0.0,0.936191,0.278045
2021_08_21_17_30_41,21,400,10.0,2,0.5,balanced,0.0,0.926247,0.215019
2021_08_22_13_37_16,21,400,10.0,2,0.5,balanced,0.0,0.97192,0.047093
2021_08_22_22_01_17,21,400,10.0,2,0.5,balanced,0.0,0.987025,0.047259
2021_08_23_10_51_24,21,400,10.0,2,0.5,balanced,0.0,0.894087,0.240801
2021_08_23_13_17_21,21,400,10.0,2,0.5,balanced,0.0,0.919092,0.281966
2021_08_23_19_42_07,21,400,10.0,2,0.5,balanced,0.0,0.81567,0.245856
2021_09_09_19_27_35,21,400,10.0,2,0.5,balanced,0.0,0.80284,0.168737
2021_09_11_00_33_16,21,400,10.0,2,0.5,balanced,0.0,0.922506,0.092916
2021_08_20_21_48_35,22,400,10.0,2,0.5,balanced,0.02,0.936191,0.278045
2021_08_21_17_30_41,22,400,10.0,2,0.5,balanced,0.02,0.926062,0.215298
2021_08_22_13_37_16,22,400,10.0,2,0.5,balanced,0.02,0.971686,0.024
2021_08_22_22_01_17,22,400,10.0,2,0.5,balanced,0.02,0.98689,0.03726
2021_08_23_10_51_24,22,400,10.0,2,0.5,balanced,0.02,0.894099,0.190717
2021_08_23_13_17_21,22,400,10.0,2,0.5,balanced,0.02,0.919446,0.287455
2021_08_23_19_42_07,22,400,10.0,2,0.5,balanced,0.02,0.816332,0.264344
2021_09_09_19_27_35,22,400,10.0,2,0.5,balanced,0.02,0.803528,0.160989
2021_09_11_00_33_16,22,400,10.0,2,0.5,balanced,0.02,0.938964,0.023631
2021_08_20_21_48_35,23,400,10.0,2,0.5,balanced,0.05,0.932409,0.150631
2021_08_21_17_30_41,23,400,10.0,2,0.5,balanced,0.05,0.923348,0.024
2021_08_22_13_37_16,23,400,10.0,2,0.5,balanced,0.05,0.971686,0.024
2021_08_22_22_01_17,23,400,10.0,2,0.5,balanced,0.05,0.987638,0.149206
2021_08_23_10_51_24,23,400,10.0,2,0.5,balanced,0.05,0.89373,0.163274
2021_08_23_13_17_21,23,400,10.0,2,0.5,balanced,0.05,0.919675,0.150239
2021_08_23_19_42_07,23,400,10.0,2,0.5,balanced,0.05,0.800953,0.024
2021_09_09_19_27_35,23,400,10.0,2,0.5,balanced,0.05,0.798578,0.045811
2021_09_11_00_33_16,23,400,10.0,2,0.5,balanced,0.05,0.91925,0.03098
2021_08_20_21_48_35,24,400,10.0,2,0.5,balanced,0.1,0.929912,0.038114
2021_08_21_17_30_41,24,400,10.0,2,0.5,balanced,0.1,0.924059,0.138108
2021_08_22_13_37_16,24,400,10.0,2,0.5,balanced,0.1,0.971686,0.024
2021_08_22_22_01_17,24,400,10.0,2,0.5,balanced,0.1,0.98737,0.024
2021_08_23_10_51_24,24,400,10.0,2,0.5,balanced,0.1,0.886513,0.024
2021_08_23_13_17_21,24,400,10.0,2,0.5,balanced,0.1,0.91841,0.029489
2021_08_23_19_42_07,24,400,10.0,2,0.5,balanced,0.1,0.800953,0.024
2021_09_09_19_27_35,24,400,10.0,2,0.5,balanced,0.1,0.798289,0.058439
2021_09_11_00_33_16,24,400,10.0,2,0.5,balanced,0.1,0.941361,0.024
2021_08_20_21_48_35,25,400,10.0,2,0.5,balanced,0.2,0.928938,0.024
2021_08_21_17_30_41,25,400,10.0,2,0.5,balanced,0.2,0.923348,0.024
2021_08_22_13_37_16,25,400,10.0,2,0.5,balanced,0.2,0.971686,0.024
2021_08_22_22_01_17,25,400,10.0,2,0.5,balanced,0.2,0.98737,0.024
2021_08_23_10_51_24,25,400,10.0,2,0.5,balanced,0.2,0.886513,0.024
2021_08_23_13_17_21,25,400,10.0,2,0.5,balanced,0.2,0.91825,0.024
2021_08_23_19_42_07,25,400,10.0,2,0.5,balanced,0.2,0.800953,0.024
2021_09_09_19_27_35,25,400,10.0,2,0.5,balanced,0.2,0.799479,0.024
2021_09_11_00_33_16,25,400,10.0,2,0.5,balanced,0.2,0.941361,0.024
2021_08_20_21_48_35,26,400,10.0,2,0.5,balanced,0.35,0.928938,0.024
2021_08_21_17_30_41,26,400,10.0,2,0.5,balanced,0.35,0.923348,0.024
2021_08_22_13_37_16,26,400,10.0,2,0.5,balanced,0.35,0.971333,0.023822
2021_08_22_22_01_17,26,400,10.0,2,0.5,balanced,0.35,0.98737,0.024
2021_08_23_10_51_24,26,400,10.0,2,0.5,balanced,0.35,0.886513,0.024
2021_08_23_13_17_21,26,400,10.0,2,0.5,balanced,0.35,0.913228,0.0235
2021_08_23_19_42_07,26,400,10.0,2,0.5,balanced,0.35,0.800953,0.024
2021_09_09_19_27_35,26,400,10.0,2,0.5,balanced,0.35,0.799479,0.024
2021_09_11_00_33_16,26,400,10.0,2,0.5,balanced,0.35,0.941361,0.024
2021_08_20_21_48_35,27,400,10.0,2,0.5,balanced,0.5,0.928938,0.024
2021_08_21_17_30_41,27,400,10.0,2,0.5,balanced,0.5,0.923348,0.024
2021_08_22_13_37_16,27,400,10.0,2,0.5,balanced,0.5,0.969273,0.022756
2021_08_22_22_01_17,27,400,10.0,2,0.5,balanced,0.5,0.98737,0.024
2021_08_23_10_51_24,27,400,10.0,2,0.5,balanced,0.5,0.886513,0.024
2021_08_23_13_17_21,27,400,10.0,2,0.5,balanced,0.5,0.913228,0.0235
2021_08_23_19_42_07,27,400,10.0,2,0.5,balanced,0.5,0.800953,0.024
2021_09_09_19_27_35,27,400,10.0,2,0.5,balanced,0.5,0.799479,0.024
2021_09_11_00_33_16,27,400,10.0,2,0.5,balanced,0.5,0.941361,0.024
2021_08_20_21_48_35,28,400,10.0,4,sqrt,,0.0,0.932634,0.073398
2021_08_21_17_30_41,28,400,10.0,4,sqrt,,0.0,0.92542,0.040781
2021_08_22_13_37_16,28,400,10.0,4,sqrt,,0.0,0.971686,0.024
2021_08_22_22_01_17,28,400,10.0,4,sqrt,,0.0,0.987063,0.063779
2021_08_23_10_51_24,28,400,10.0,4,sqrt,,0.0,0.890636,0.110446
2021_08_23_13_17_21,28,400,10.0,4,sqrt,,0.0,0.919816,0.045955
2021_08_23_19_42_07,28,400,10.0,4,sqrt,,0.0,0.800953,0.024
2021_09_09_19_27_35,28,400,10.0,4,sqrt,,0.0,0.802483,0.270044
2021_09_11_00_33_16,28,400,10.0,4,sqrt,,0.0,0.94312,0.230773
2021_08_20_21_48_35,29,400,10.0,4,sqrt,,0.02,0.93204,0.066341
2021_08_21_17_30_41,29,400,10.0,4,sqrt,,0.02,0.925246,0.038823
2021_08_22_13_37_16,29,400,10.0,4,sqrt,,0.02,0.971686,0.024
2021_08_22_22_01_17,29,400,10.0,4,sqrt,,0.02,0.987847,0.221374
2021_08_23_10_51_24,29,400,10.0,4,sqrt,,0.02,0.890227,0.102213
2021_08_23_13_17_21,29,400,10.0,4,sqrt,,0.02,0.919351,0.038636
2021_08_23_19_42_07,29,400,10.0,4,sqrt,,0.02,0.800953,0.024
2021_09_09_19_27_35,29,400,10.0,4,sqrt,,0.02,0.802642,0.251103
2021_09_11_00_33_16,29,400,10.0,4,sqrt,,0.02,0.942617,0.164262
2021_08_20_21_48_35,30,400,10.0,4,sqrt,,0.05,0.928938,0.024
2021_08_21_17_30_41,30,400,10.0,4,sqrt,,0.05,0.923348,0.024
2021_08_22_13_37_16,30,400,10.0,4,sqrt,,0.05,0.971686,0.024
2021_08_22_22_01_17,30,400,10.0,4,sqrt,,0.05,0.98737,0.024
2021_08_23_10_51_24,30,400,10.0,4,sqrt,,0.05,0.886513,0.024
2021_08_23_13_17_21,30,400,10.0,4,sqrt,,0.05,0.91825,0.024
2021_08_23_19_42_07,30,400,10.0,4,sqrt,,0.05,0.800953,0.024
2021_09_09_19_27_35,30,400,10.0,4,sqrt,,0.05,0.799479,0.024
2021_09_11_00_33_16,30,400,10.0,4,sqrt,,0.05,0.941361,0.024
2021_08_20_21_48_35,31,400,10.0,4,sqrt,,0.1,0.928938,0.024
2021_08_21_17_30_41,31,400,10.0,4,sqrt,,0.1,0.923348,0.024
2021_08_22_13_37_16,31,400,10.0,4,sqrt,,0.1,0.971686,0.024
2021_08_22_22_01_17,31,400,10.0,4,sqrt,,0.1,0.979867,0.022002
2021_08_23_10_51_24,31,400,10.0,4,sqrt,,0.1,0.886513,0.024
2021_08_23_13_17_21,31,400,10.0,4,sqrt,,0.1,0.91825,0.024
2021_08_23_19_42_07,31,400,10.0,4,sqrt,,0.1,0.800953,0.024
2021_09_09_19_27_35,31,400,10.0,4,sqrt,,0.1,0.799479,0.024
2021_09_11_00_33_16,31,400,10.0,4,sqrt,,0.1,0.941361,0.024
2021_08_20_21_48_35,32,400,10.0,4,sqrt,,0.2,0.928938,0.024
2021_08_21_17_30_41,32,400,10.0,4,sqrt,,0.2,0.923348,0.024
2021_08_22_13_37_16,32,400,10.0,4,sqrt,,0.2,0.971686,0.024
2021_08_22_22_01_17,32,400,10.0,4,sqrt,,0.2,0.926374,0.0093
2021_08_23_10_51_24,32,400,10.0,4,sqrt,,0.2,0.886513,0.024
2021_08_23_13_17_21,32,400,10.0,4,sqrt,,0.2,0.91825,0.024
2021_08_23_19_42_07,32,400,10.0,4,sqrt,,0.2,0.800953,0.024
2021_09_09_19_27_35,32,400,10.0,4,sqrt,,0.2,0.799479,0.024
2021_09_11_00_33_16,32,400,10.0,4,sqrt,,0.2,0.941361,0.024
2021_08_20_21_48_35,33,400,10.0,4,sqrt,,0.35,0.928938,0.024
2021_08_21_17_30_41,33,400,10.0,4,sqrt,,0.35,0.923348,0.024
2021_08_22_13_37_16,33,400,10.0,4,sqrt,,0.35,0.971686,0.024
2021_08_22_22_01_17,33,400,10.0,4,sqrt,,0.35,0.902315,0.003683
2021_08_23_10_51_24,33,400,10.0,4,sqrt,,0.35,0.886513,0.024
2021_08_23_13_17_21,33,400,10.0,4,sqrt,,0.35,0.91825,0.024
2021_08_23_19_42_07,33,400,10.0,4,sqrt,,0.35,0.800953,0.024
2021_09_09_19_27_35,33,400,10.0,4,sqrt,,0.35,0.799479,0.024
2021_09_11_00_33_16,33,400,10.0,4,sqrt,,0.35,0.941031,0.023936
2021_08_20_21_48_35,34,400,10.0,4,sqrt,,0.5,0.928938,0.024
2021_08_21_17_30_41,34,400,10.0,4,sqrt,,0.5,0.923348,0.024
2021_08_22_13_37_16,34,400,10.0,4,sqrt,,0.5,0.971686,0.024
2021_08_22_22_01_17,34,400,10.0,4,sqrt,,0.5,0.903095,0.003921
2021_08_23_10_51_24,34,400,10.0,4,sqrt,,0.5,0.886513,0.024
2021_08_23_13_17_21,34,400,10.0,4,sqrt,,0.5,0.91825,0.024
2021_08_23_19_42_07,34,400,10.0,4,sqrt,,0.5,0.800953,0.024
2021_09_09_19_27_35,34,400,10.0,4,sqrt,,0.5,0.799479,0.024
2021_09_11_00_33_16,34,400,10.0,4,sqrt,,0.5,0.941361,0.024
2021_08_20_21_48_35,35,400,10.0,4,sqrt,balanced,0.0,0.935933,0.268636
2021_08_21_17_30_41,35,400,10.0,4,sqrt,balanced,0.0,0.930701,0.285497
2021_08_22_13_37_16,35,400,10.0,4,sqrt,balanced,0.0,0.971686,0.024
2021_08_22_22_01_17,35,400,10.0,4,sqrt,balanced,0.0,0.98791,0.206375
