realisation,F1_RF,F1_tau,B_RF,B_tau,dF,dB
122,0.8757688781867187,0.8698746600536384,0.04587878787878788,0.07181212121212122,0.00589421813308022,-0.025933333333333336
123,0.8761324141998507,0.8695758801217031,0.04681818181818183,0.0644939393939394,0.006556534078147602,-0.017675757575757567
124,0.875578033616491,0.8695368332393242,0.042975757575757584,0.06937272727272728,0.006041200377166822,-0.026396969696969697
125,0.8767945860653933,0.8706625162049978,0.052209090909090906,0.0723,0.006132069860395495,-0.020090909090909097
126,0.8755982052286536,0.8702624681622091,0.04151212121212121,0.0718121212121212,0.005335737066444524,-0.030299999999999994
127,0.876653386257551,0.8701650181503007,0.051281818181818185,0.07815454545454546,0.006488368107250286,-0.026872727272727277
128,0.8759800806684865,0.8697458758498683,0.04684242424242424,0.07522727272727274,0.00623420481861825,-0.0283848484848485
129,0.8760953792533807,0.8703604461267741,0.04734242424242424,0.06644545454545456,0.005734933126606556,-0.019103030303030316
130,0.8765018458073689,0.8702887988451755,0.047830303030303035,0.06888484848484848,0.00621304696219338,-0.021054545454545444
131,0.8759649133464664,0.8706923469148501,0.046330303030303034,0.07571515151515151,0.005272566431616332,-0.02938484848484848
132,0.8760430005430616,0.8706212331249257,0.04684242424242425,0.07473939393939394,0.0054217674181359365,-0.02789696969696969
133,0.8762503169906946,0.8703966988457574,0.04834242424242424,0.07766666666666666,0.005853618144937123,-0.02932424242424242
134,0.8755516940941929,0.8703564782636334,0.04295151515151516,0.07327575757575758,0.005195215830559485,-0.03032424242424242
135,0.8764453383523593,0.8700272838274637,0.04984242424242424,0.06546969696969697,0.006418054524895522,-0.015627272727272733
136,0.8762177190777393,0.8702921692470107,0.04687878787878788,0.06693333333333334,0.0059255498307285714,-0.020054545454545464
137,0.8757292062353086,0.8699498068804693,0.04295151515151516,0.07522727272727274,0.0057793993548392875,-0.03227575757575758
138,0.8758646906238896,0.8708116238165383,0.04489090909090909,0.07327575757575758,0.005053066807351292,-0.028384848484848485
139,0.8766052237247102,0.8700381322340531,0.05176969696969697,0.07376363636363638,0.00656709149065704,-0.021993939393939406
140,0.8755569977674154,0.870440501636929,0.04448787878787879,0.07913030303030302,0.00511649613048637,-0.03464242424242423
141,0.8764408171650813,0.8702536767480349,0.048306060606060616,0.06644545454545456,0.006187140417046377,-0.01813939393939394
142,0.8759581064912697,0.8697873138418102,0.04590303030303031,0.07034848484848484,0.006170792649459522,-0.024445454545454534
143,0.8762218113829732,0.8703740171109787,0.047830303030303035,0.07522727272727274,0.005847794271994444,-0.027396969696969704
144,0.8751380582008611,0.8693302862872981,0.040512121212121215,0.0766909090909091,0.005807771913562965,-0.03617878787878789
145,0.87574098859451,0.8699818971783224,0.044427272727272725,0.06937272727272728,0.005759091416187578,-0.024945454545454555
146,0.8760547953400991,0.8709835642817044,0.045366666666666666,0.07376363636363638,0.005071231058394687,-0.028396969696969712
147,0.8755119388606715,0.8702749556363231,0.041975757575757576,0.07034848484848485,0.005236983224348402,-0.02837272727272728
148,0.8760760945401235,0.8703064437767472,0.04686666666666667,0.07376363636363638,0.005769650763376322,-0.02689696969696971
149,0.8760153191777847,0.8702839264664987,0.04734242424242424,0.0718121212121212,0.005731392711286087,-0.02446969696969696
150,0.8766304754581689,0.8705000986053486,0.05034242424242425,0.0718121212121212,0.006130376852820252,-0.02146969696969695
151,0.8764434502471431,0.870736065326315,0.04981818181818181,0.06546969696969697,0.005707384920828118,-0.01565151515151516
152,0.8755607373577172,0.8699761480996103,0.0454030303030303,0.07327575757575758,0.005584589258106898,-0.027872727272727278
153,0.8758523375178499,0.8701556033859349,0.045366666666666666,0.07473939393939395,0.00569673413191496,-0.029372727272727286
154,0.8759404671661492,0.8699262381503077,0.0463909090909091,0.07278787878787879,0.006014229015841477,-0.02639696969696969
155,0.8759932824495407,0.8703919830647382,0.04591515151515152,0.08156969696969696,0.005601299384802472,-0.03565454545454544
156,0.8754123029709484,0.869701993585837,0.042975757575757584,0.0723,0.005710309385111412,-0.02932424242424242
157,0.8760005964630742,0.8702247777671525,0.04586666666666667,0.07132424242424243,0.005775818695921697,-0.025457575757575762
158,0.8763919266979775,0.87049845420953,0.04781818181818182,0.0718121212121212,0.005893472488447515,-0.02399393939393938
159,0.8759855131723151,0.8699786165145913,0.046890909090909094,0.06351818181818182,0.006006896657723804,-0.016627272727272727
160,0.8758506647583795,0.8708110702158225,0.04391515151515151,0.08254545454545455,0.00503959454255698,-0.038630303030303036
161,0.8764590782982956,0.8705419948305747,0.049281818181818184,0.0762030303030303,0.005917083467720907,-0.026921212121212117
162,0.8755237730129434,0.8709565316787874,0.042939393939393944,0.07425151515151515,0.00456724133415598,-0.03131212121212121
163,0.8758164585901308,0.8698660882133427,0.04446363636363637,0.07376363636363638,0.005950370376788139,-0.029300000000000007
164,0.875447014907432,0.8700047038721316,0.04301212121212122,0.06546969696969697,0.005442311035300462,-0.022457575757575753
165,0.8750080634725053,0.8705984587320174,0.03906060606060606,0.07717878787878789,0.004409604740487905,-0.03811818181818183
166,0.8756865609574922,0.8699076837963529,0.04395151515151515,0.06400606060606061,0.00577887716113934,-0.020054545454545457
167,0.8762951971760667,0.8703612998278454,0.050306060606060604,0.07571515151515151,0.005933897348221362,-0.02540909090909091
168,0.8764613801206649,0.869649932420615,0.05075757575757576,0.06595757575757576,0.006811447700049933,-0.015199999999999998
169,0.8764503457460207,0.8702196920760954,0.04933030303030304,0.06986060606060607,0.006230653669925257,-0.02053030303030303
170,0.8760499635382503,0.8703849187101981,0.04784242424242425,0.08205757575757576,0.00566504482805219,-0.03421515151515151
171,0.8756276183515619,0.870402754286323,0.04441515151515152,0.07278787878787879,0.005224864065238921,-0.02837272727272727
172,0.8759566886350939,0.8701886492847192,0.04592727272727273,0.06937272727272728,0.005768039350374732,-0.023445454545454547
173,0.8757537710361963,0.8701134446293417,0.04342727272727273,0.06742121212121212,0.005640326406854634,-0.023993939393939387
174,0.8748628296066169,0.8700351584439325,0.03806060606060606,0.07278787878787879,0.004827671162684344,-0.03472727272727273
175,0.8762417023634688,0.8700431007929522,0.04880606060606061,0.08254545454545455,0.006198601570516549,-0.03373939393939394
176,0.8756519324409584,0.8702232493896677,0.04491515151515152,0.0762030303030303,0.005428683051290739,-0.03128787878787878
177,0.8754748077019694,0.8695436487294207,0.04242727272727273,0.07425151515151517,0.0059311589725487,-0.031824242424242435
