frame,n_gt,n_box_ego,n_box_collab,n_box_L,f1_E,f1_L,n_cw_L,B_L_msym
56,23,23,20,23,1.0,1.0,8,0.002
57,23,23,21,23,1.0,1.0,9,0.00225
58,23,23,18,23,1.0,1.0,8,0.002
59,23,23,21,23,1.0,1.0,9,0.00225
60,23,22,18,23,0.9777777777777777,1.0,8,0.002
61,23,22,21,23,0.9777777777777777,1.0,9,0.00225
62,23,21,19,22,0.8636363636363636,0.9777777777777777,8,0.002
63,22,19,20,22,0.9268292682926829,1.0,8,0.002
64,22,20,21,22,0.9523809523809523,1.0,9,0.00225
65,22,19,19,22,0.9268292682926829,1.0,8,0.002
66,22,20,20,22,0.9523809523809523,1.0,8,0.002
67,22,19,20,21,0.8780487804878049,0.9767441860465117,8,0.002
68,22,18,21,22,0.9,0.9545454545454546,9,0.00225
69,21,17,18,20,0.8947368421052632,0.975609756097561,8,0.002
70,21,17,19,20,0.8947368421052632,0.975609756097561,8,0.002
71,21,17,21,21,0.8947368421052632,1.0,9,0.00225
72,21,16,19,20,0.8648648648648648,0.975609756097561,8,0.002
73,21,17,20,21,0.8947368421052632,1.0,8,0.002
74,21,18,19,21,0.8717948717948718,0.9523809523809523,8,0.002
75,21,17,19,20,0.8947368421052632,0.975609756097561,8,0.002
76,21,17,19,21,0.8421052631578947,0.9523809523809523,8,0.002
77,21,17,20,21,0.8421052631578947,0.9523809523809523,8,0.002
78,21,17,18,20,0.8421052631578947,0.975609756097561,8,0.002
79,21,17,20,21,0.8421052631578947,0.9047619047619048,8,0.002
80,21,17,19,20,0.8421052631578947,0.975609756097561,8,0.002
81,21,17,19,20,0.8947368421052632,0.975609756097561,8,0.002
82,21,17,19,20,0.8947368421052632,0.975609756097561,8,0.002
83,21,17,19,20,0.8947368421052632,0.975609756097561,8,0.002
84,21,17,19,20,0.8947368421052632,0.975609756097561,8,0.002
85,21,17,18,20,0.8947368421052632,0.975609756097561,8,0.002
86,20,14,20,21,0.7647058823529412,0.975609756097561,8,0.002
87,20,14,19,20,0.8235294117647058,1.0,8,0.002
