realisation,F1_2G,F1_RF,F1_tau,B_2G,B_RF,B_tau,dF_2G_RF,dB_2G_RF,dF_2G_tau,dB_2G_tau
90,0.8553843390405904,0.8638574250785652,0.8612314196658353,0.024000000000000004,0.1495818181818182,0.21622424242424243,-0.008473086037974809,-0.1255818181818182,-0.00584708062524486,-0.19222424242424244
91,0.8553843390405904,0.8640296575583821,0.8607524636473097,0.024000000000000004,0.14623939393939395,0.2098818181818182,-0.008645318517791711,-0.12223939393939394,-0.005368124606719316,-0.1858818181818182
92,0.8553843390405904,0.8642910913650146,0.8614414109543854,0.024000000000000004,0.15011818181818185,0.22207878787878788,-0.008906752324424172,-0.12611818181818185,-0.006057071913795009,-0.19807878787878788
93,0.8553843390405904,0.8646372090155056,0.8608520800987325,0.024000000000000004,0.14765454545454548,0.21036969696969698,-0.009252869974915146,-0.12365454545454548,-0.005467741058142073,-0.186369696969697
94,0.8553843390405904,0.8638284438254779,0.8605106792225529,0.024000000000000004,0.14713030303030303,0.20061212121212124,-0.00844410478488744,-0.12313030303030302,-0.005126340181962452,-0.17661212121212125
95,0.8553843390405904,0.8642205177208281,0.8613439511682,0.024000000000000004,0.14571515151515152,0.22061515151515151,-0.008836178680237672,-0.12171515151515151,-0.005959612127609537,-0.19661515151515152
96,0.8553843390405904,0.8641803887359121,0.8607816639668986,0.024000000000000004,0.14617878787878788,0.20744242424242423,-0.008796049695321662,-0.12217878787878787,-0.005397324926308178,-0.18344242424242424
97,0.8553843390405904,0.8639405989560818,0.8608020040530777,0.024000000000000004,0.14131212121212122,0.21280909090909092,-0.00855625991549136,-0.11731212121212121,-0.005417665012487305,-0.18880909090909093
98,0.8553843390405904,0.8646093665044978,0.8616747508105667,0.024000000000000004,0.15642424242424244,0.23183636363636367,-0.00922502746390741,-0.13242424242424244,-0.006290411769976245,-0.20783636363636368
99,0.8553843390405904,0.8643187506791721,0.861384037381476,0.024000000000000004,0.1471787878787879,0.2093939393939394,-0.008934411638581663,-0.1231787878787879,-0.00599969834088554,-0.18539393939393942
100,0.8553843390405904,0.86393963362381,0.8600841226225017,0.024000000000000004,0.1407878787878788,0.19622121212121213,-0.008555294583219575,-0.11678787878787879,-0.004699783581911254,-0.17222121212121214
101,0.8553843390405904,0.8647297063670937,0.8616808661598911,0.024000000000000004,0.16037575757575756,0.22451818181818184,-0.009345367326503262,-0.13637575757575757,-0.006296527119300732,-0.20051818181818185
102,0.8553843390405904,0.8645377755009365,0.8615795309146114,0.024000000000000004,0.15304545454545457,0.22598181818181817,-0.009153436460346054,-0.12904545454545457,-0.0061951918740209555,-0.20198181818181818
103,0.8553843390405904,0.8637010214340943,0.8605175948607303,0.024000000000000004,0.14617878787878788,0.21573636363636364,-0.008316682393503916,-0.12217878787878787,-0.005133255820139904,-0.19173636363636365
104,0.8553843390405904,0.8640103588972194,0.8606628455055583,0.024000000000000004,0.14081212121212122,0.2050030303030303,-0.00862601985662903,-0.11681212121212121,-0.005278506464967858,-0.1810030303030303
105,0.8553843390405904,0.8637867540005536,0.8609583870787779,0.024000000000000004,0.14717878787878788,0.21427272727272728,-0.00840241495996319,-0.12317878787878787,-0.005574048038187507,-0.1902727272727273
106,0.8553843390405904,0.864640056931079,0.8613843258330426,0.024000000000000004,0.15253333333333335,0.2215909090909091,-0.009255717890488624,-0.12853333333333336,-0.005999986792452172,-0.1975909090909091
107,0.8553843390405904,0.8647300226962918,0.8611300270672329,0.024000000000000004,0.15502121212121212,0.21280909090909092,-0.009345683655701431,-0.13102121212121212,-0.005745688026642437,-0.18880909090909093
108,0.8553843390405904,0.8642882892608601,0.8611327307046528,0.024000000000000004,0.14616666666666667,0.2196393939393939,-0.008903950220269685,-0.12216666666666666,-0.00574839166406238,-0.19563939393939392
109,0.8553843390405904,0.8644252307438849,0.8610943534455264,0.024000000000000004,0.15591212121212122,0.21573636363636364,-0.009040891703294474,-0.13191212121212123,-0.005710014404936015,-0.19173636363636365
110,0.8553843390405904,0.8642705338792207,0.8613629479445508,0.024000000000000004,0.1554727272727273,0.21720000000000003,-0.00888619483863029,-0.1314727272727273,-0.005978608903960403,-0.19320000000000004
111,0.8553843390405904,0.8643488798600268,0.8603161562329084,0.024000000000000004,0.15349696969696972,0.21085757575757577,-0.008964540819436428,-0.12949696969696972,-0.004931817192317944,-0.18685757575757578
112,0.8553843390405904,0.8648430700534251,0.8614529533307761,0.024000000000000004,0.15544848484848486,0.22305454545454548,-0.009458731012834676,-0.13144848484848487,-0.006068614290185681,-0.19905454545454548
113,0.8553843390405904,0.8645881814995313,0.8617114480512362,0.024000000000000004,0.1515939393939394,0.22695757575757575,-0.009203842458940903,-0.1275939393939394,-0.006327109010645815,-0.20295757575757575
114,0.8553843390405904,0.8639535922607369,0.8605168499602988,0.024000000000000004,0.14765454545454545,0.20402727272727272,-0.008569253220146456,-0.12365454545454545,-0.005132510919708344,-0.18002727272727273
115,0.8553843390405904,0.8645275982592877,0.8616115200756748,0.024000000000000004,0.15011818181818182,0.20695454545454545,-0.009143259218697297,-0.12611818181818182,-0.00622718103508435,-0.18295454545454545
116,0.8553843390405904,0.864841305250166,0.8615035955397026,0.024000000000000004,0.1638030303030303,0.21524848484848486,-0.00945696620957559,-0.13980303030303032,-0.006119256499112158,-0.19124848484848486
117,0.8553843390405904,0.8634849241464911,0.8605720682434401,0.024000000000000004,0.1417878787878788,0.2128090909090909,-0.008100585105900726,-0.11778787878787879,-0.005187729202849711,-0.1888090909090909
118,0.8553843390405904,0.864450245221131,0.861020718407324,0.024000000000000004,0.15252121212121214,0.21427272727272728,-0.009065906180540595,-0.12852121212121215,-0.005636379366733557,-0.1902727272727273
119,0.8553843390405904,0.864326540753904,0.8617893315944816,0.024000000000000004,0.15938787878787877,0.21963939393939394,-0.008942201713313613,-0.13538787878787878,-0.006404992553891153,-0.19563939393939395
120,0.8553843390405904,0.8642629167584513,0.8612427785964784,0.024000000000000004,0.14915454545454546,0.2181757575757576,-0.008878577717860936,-0.12515454545454546,-0.00585843955588794,-0.1941757575757576
121,0.8553843390405904,0.8651885383205574,0.8617817332665504,0.024000000000000004,0.1569,0.21280909090909092,-0.009804199279967007,-0.13290000000000002,-0.006397394225959974,-0.18880909090909093
