realisation,F1_2G,F1_RF,F1_tau,B_2G,B_RF,B_tau,dF_2G_RF,dB_2G_RF,dF_2G_tau,dB_2G_tau
38,0.851219980238923,0.8466425612136569,0.8499505909740852,0.08371636363636363,0.023999999999999997,0.08196,0.004577419025266094,0.05971636363636364,0.0012693892648377725,0.0017563636363636254
39,0.8522147944072834,0.8466425612136569,0.8497916594386842,0.09074181818181819,0.023999999999999997,0.07317818181818182,0.005572233193626541,0.0667418181818182,0.00242313496859925,0.017563636363636365
40,0.8507046026178939,0.8466425612136569,0.8500167957698449,0.08722909090909091,0.023999999999999997,0.07142181818181817,0.004062041404237049,0.06322909090909092,0.0006878068480490329,0.01580727272727274
41,0.8529683211734487,0.8467926333637291,0.8485082053161407,0.09425454545454547,0.02575636363636363,0.0573709090909091,0.0061756878097195544,0.06849818181818183,0.004460115857307989,0.03688363636363637
42,0.8512158958467322,0.8467227279604902,0.8487501866898617,0.07669090909090909,0.02575636363636363,0.07844727272727273,0.004493167886241989,0.050934545454545455,0.002465709156870499,-0.0017563636363636392
43,0.8505734106901525,0.8466425612136569,0.8483096669590545,0.08020363636363637,0.023999999999999997,0.06615272727272728,0.003930849476495579,0.05620363636363637,0.0022637437310979447,0.014050909090909086
44,0.8496994879240707,0.8466425612136569,0.8482730982494424,0.06966545454545454,0.023999999999999997,0.04858909090909091,0.0030569267104137987,0.04566545454545455,0.00142638967462827,0.021076363636363636
45,0.8519491938539994,0.8467926333637291,0.8503479131581764,0.08722909090909091,0.02575636363636363,0.07493454545454545,0.0051565604902702455,0.061472727272727276,0.001601280695822993,0.01229454545454546
46,0.8511004723902337,0.8466425612136569,0.8493455154908254,0.08371636363636363,0.023999999999999997,0.06264,0.00445791117657679,0.05971636363636364,0.0017549568994082998,0.02107636363636363
47,0.8497874511626428,0.8466425612136569,0.8489254070297627,0.06966545454545453,0.023999999999999997,0.0573709090909091,0.003144889948985874,0.04566545454545454,0.0008620441328800466,0.012294545454545433
48,0.8512646106457126,0.8466425612136569,0.8492688618663281,0.08547272727272728,0.023999999999999997,0.07142181818181817,0.004622049432055686,0.06147272727272729,0.0019957487793844653,0.014050909090909114
49,0.8506487458257009,0.8466425612136569,0.8488895495417277,0.08195999999999999,0.023999999999999997,0.0679090909090909,0.00400618461204405,0.05796,0.0017591962839732522,0.014050909090909086
50,0.8519822290469303,0.8466425612136569,0.8485214449031776,0.09074181818181819,0.023999999999999997,0.06439636363636364,0.005339667833273443,0.0667418181818182,0.0034607841437527265,0.026345454545454547
51,0.8510885848081648,0.8466425612136569,0.8487043598693981,0.08020363636363635,0.023999999999999997,0.05385818181818182,0.004446023594507964,0.05620363636363636,0.002384224938766777,0.026345454545454533
52,0.8515057644437827,0.8466425612136569,0.85056517572913,0.08371636363636364,0.023999999999999997,0.07317818181818182,0.00486320323012579,0.05971636363636365,0.0009405887146526348,0.010538181818181822
53,0.8493922224672901,0.8466425612136569,0.8507098335787432,0.06439636363636363,0.023999999999999997,0.07317818181818181,0.0027496612536331844,0.04039636363636363,-0.0013176111114531208,-0.008781818181818182
54,0.8514120834651592,0.8466425612136569,0.8497854857341515,0.08898545454545453,0.023999999999999997,0.07669090909090907,0.0047695222515022895,0.06498545454545454,0.0016265977310077062,0.01229454545454546
55,0.8508461518873187,0.8466425612136569,0.8490562673760232,0.08722909090909092,0.023999999999999997,0.06263999999999999,0.004203590673661828,0.06322909090909093,0.0017898845112954698,0.024589090909090935
56,0.8510551287315966,0.8466425612136569,0.8485175476947802,0.09601090909090909,0.023999999999999997,0.06264,0.004412567517939725,0.0720109090909091,0.0025375810368164498,0.03337090909090909
57,0.8508096019175059,0.8466425612136569,0.8490011255567708,0.07142181818181818,0.023999999999999997,0.07142181818181817,0.00416704070384899,0.04742181818181819,0.0018084763607351118,1.3877787807814457e-17
58,0.8502672044646163,0.8466425612136569,0.8493775817048366,0.08196,0.023999999999999997,0.07844727272727273,0.0036246432509594584,0.05796000000000001,0.0008896227597797735,0.0035127272727272785
59,0.8507289163911392,0.8466425612136569,0.8494104607508828,0.08547272727272728,0.023999999999999997,0.06088363636363637,0.004086355177482348,0.06147272727272729,0.0013184556402564551,0.024589090909090915
