realisation,F1_2G,F1_RF,F1_tau,B_2G,B_RF,B_tau,dF_2G_RF,dB_2G_RF,dF_2G_tau,dB_2G_tau
55,0.8559493393562462,0.8610343320050887,0.8568910875448051,0.09376666666666668,0.08083939393939393,0.06546969696969697,-0.005084992648842546,0.012927272727272746,-0.0009417481885589662,0.02829696969696971
56,0.8561661254688787,0.8612497184384289,0.857240667242693,0.09962121212121212,0.0822909090909091,0.07278787878787879,-0.005083592969550188,0.01733030303030303,-0.0010745417738142748,0.026833333333333334
57,0.8557780451985137,0.8614283740627676,0.8573076126997462,0.0923030303030303,0.08421818181818182,0.07473939393939394,-0.005650328864253873,0.008084848484848486,-0.0015295675012324539,0.017563636363636365
58,0.8557667294969131,0.8610364046923821,0.8572641220244483,0.09132727272727274,0.08032727272727273,0.07473939393939394,-0.005269675195468948,0.01100000000000001,-0.001497392527535224,0.016587878787878804
59,0.8558388180472235,0.8599395893548646,0.8568108783430632,0.0923030303030303,0.06915454545454547,0.07815454545454546,-0.004100771307641082,0.023148484848484835,-0.0009720602958397384,0.01414848484848484
60,0.8554377240205141,0.861568184415056,0.857149622380912,0.10401212121212122,0.08766969696969698,0.0884,-0.006130460394541903,0.01634242424242424,-0.0017118983603978677,0.015612121212121216
61,0.855888513366444,0.860998853659862,0.8564973216320672,0.10010909090909091,0.08033939393939395,0.06742121212121212,-0.005110340293417948,0.019769696969696965,-0.0006088082656231508,0.032687878787878794
62,0.855537720447825,0.8611481421072921,0.8564869395079052,0.09718181818181819,0.08332727272727272,0.06693333333333334,-0.005610421659467124,0.013854545454545467,-0.0009492190600802752,0.030248484848484844
63,0.8557330742245468,0.8610985570187493,0.85659703945407,0.0884,0.08127878787878788,0.06986060606060607,-0.0053654827942024585,0.0071212121212121254,-0.0008639652295231448,0.01853939393939394
64,0.8557348436291977,0.8614078017806228,0.8567294202101667,0.09376666666666668,0.0856939393939394,0.07522727272727273,-0.0056729581514251,0.008072727272727273,-0.00099457658096902,0.018539393939393953
65,0.8555846678143499,0.860917531165906,0.8565573507068839,0.09425454545454547,0.0788878787878788,0.06937272727272728,-0.0053328633515560275,0.015366666666666667,-0.0009726828925339381,0.024881818181818185
66,0.855508101049153,0.8617040604719067,0.8573359103951519,0.09962121212121214,0.0876818181818182,0.07571515151515151,-0.0061959594227537496,0.011939393939393944,-0.0018278093459989098,0.023906060606060625
67,0.8562632475567148,0.8615517746253459,0.8571510536812686,0.09376666666666668,0.08571818181818183,0.07571515151515151,-0.005288527068631144,0.008048484848484846,-0.0008878061245538582,0.018051515151515166
68,0.855776476987468,0.8613463226013719,0.8565241389636977,0.10108484848484849,0.08474242424242426,0.06254242424242425,-0.005569845613903945,0.016342424242424228,-0.0007476619762297743,0.03854242424242424
69,0.8561533626914211,0.8611108571869778,0.8573385851425885,0.09962121212121212,0.08081515151515152,0.07571515151515151,-0.0049574944955567135,0.018806060606060604,-0.001185222451167478,0.02390606060606061
70,0.8561617086900897,0.8612941992431697,0.8567205514315399,0.09766969696969698,0.08277878787878788,0.07083636363636366,-0.005132490553080071,0.014890909090909094,-0.0005588427414502384,0.02683333333333332
71,0.8552290771872134,0.8613346329055688,0.8567329532067018,0.0923030303030303,0.08471818181818183,0.0723,-0.00610555571835536,0.007584848484848472,-0.001503876019488426,0.0200030303030303
72,0.8559997149537134,0.8609883379817637,0.8565742044977441,0.09962121212121212,0.07886363636363637,0.06986060606060607,-0.004988623028050254,0.020757575757575752,-0.0005744895440307207,0.029760606060606057
73,0.8555568698847693,0.8611467207065235,0.8568171320446165,0.09376666666666668,0.0812909090909091,0.07425151515151515,-0.0055898508217542275,0.012475757575757584,-0.001260262159847203,0.019515151515151527
