fold_scene,candidate_index,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,lambda,n_frames,realised_f1,realised_payload
2021_08_22_22_01_17,32,400,10.0,4,sqrt,,0.2,202,0.9831,0.02305
2021_08_23_10_51_24,32,400,10.0,4,sqrt,,0.2,64,0.888301,0.024
2021_08_23_13_17_21,32,400,10.0,4,sqrt,,0.2,48,0.907653,0.024
2021_08_23_19_42_07,32,400,10.0,4,sqrt,,0.2,57,0.727259,0.024
2021_09_09_19_27_35,32,400,10.0,4,sqrt,,0.2,459,0.743399,0.023739
2021_09_11_00_33_16,32,400,10.0,4,sqrt,,0.2,746,0.857324,0.018563
2021_08_20_21_48_35,33,400,10.0,4,sqrt,,0.35,112,0.94998,0.024
2021_08_21_17_30_41,33,400,10.0,4,sqrt,,0.35,157,0.935202,0.024
2021_08_22_13_37_16,33,400,10.0,4,sqrt,,0.35,135,0.971282,0.024
2021_08_22_22_01_17,33,400,10.0,4,sqrt,,0.35,202,0.980255,0.022693
2021_08_23_10_51_24,33,400,10.0,4,sqrt,,0.35,64,0.888301,0.024
2021_08_23_13_17_21,33,400,10.0,4,sqrt,,0.35,48,0.907653,0.024
2021_08_23_19_42_07,33,400,10.0,4,sqrt,,0.35,57,0.727259,0.024
