frame,n_gt,n_box_float,n_box_int8,f1_float,f1_int8
432,8,9,9,0.9411764705882353,0.9411764705882353
441,8,8,8,1.0,1.0
450,8,8,8,1.0,1.0
459,8,8,8,1.0,1.0
468,8,8,8,1.0,1.0
477,6,7,7,0.923076923076923,0.923076923076923
486,6,6,6,1.0,1.0
495,6,6,6,1.0,1.0
504,6,7,7,0.923076923076923,0.923076923076923
513,6,6,6,1.0,1.0
522,6,6,6,1.0,1.0
531,6,6,6,1.0,1.0
540,6,6,6,1.0,1.0
549,6,6,6,1.0,1.0
558,6,6,6,1.0,1.0
567,7,7,7,1.0,1.0
576,7,6,6,0.923076923076923,0.923076923076923
585,7,7,7,1.0,1.0
594,6,6,6,1.0,1.0
603,6,7,7,0.923076923076923,0.923076923076923
612,23,17,17,0.7999999999999999,0.7999999999999999
621,22,18,18,0.9,0.9
630,22,18,18,0.9,0.9
639,23,20,20,0.9302325581395349,0.9302325581395349
648,24,21,21,0.9333333333333333,0.9333333333333333
657,24,24,24,1.0,1.0
666,22,20,20,0.9523809523809523,0.9523809523809523
675,14,16,16,0.9333333333333333,0.9333333333333333
684,18,18,18,0.9444444444444444,0.9444444444444444
693,14,15,15,0.9655172413793104,0.9655172413793104
702,14,16,16,0.8666666666666666,0.8666666666666666
711,14,14,14,0.9285714285714286,0.9285714285714286
720,10,11,11,0.9523809523809523,0.9523809523809523
729,10,13,13,0.8695652173913044,0.8695652173913044
738,9,11,11,0.9,0.9
747,9,13,13,0.8181818181818181,0.8181818181818181
756,9,14,13,0.782608695652174,0.8181818181818181
765,9,15,15,0.7499999999999999,0.7499999999999999
774,9,12,12,0.8571428571428571,0.8571428571428571
783,18,20,20,0.9473684210526316,0.9473684210526316
792,17,23,23,0.85,0.85
801,20,23,23,0.9302325581395349,0.9302325581395349
810,21,22,22,0.8372093023255814,0.8372093023255814
819,21,25,25,0.8260869565217391,0.8260869565217391
828,22,26,26,0.7916666666666666,0.7916666666666666
837,22,26,26,0.8333333333333333,0.8333333333333333
846,24,29,30,0.830188679245283,0.8148148148148148
855,25,30,30,0.8363636363636363,0.8363636363636363
864,22,28,28,0.8,0.8
873,23,24,24,0.7659574468085107,0.7659574468085107
882,24,23,23,0.7659574468085107,0.7659574468085107
891,24,25,25,0.8979591836734694,0.8979591836734694
900,24,21,21,0.7555555555555556,0.7555555555555556
909,25,25,25,0.88,0.88
918,26,21,20,0.8085106382978723,0.7826086956521738
927,25,20,20,0.7999999999999999,0.7999999999999999
936,22,19,19,0.8780487804878049,0.8780487804878049
945,25,20,20,0.8444444444444444,0.8444444444444444
954,26,22,22,0.7916666666666666,0.7916666666666666
963,26,24,24,0.76,0.76
972,24,20,20,0.8181818181818182,0.8181818181818182
981,25,20,20,0.7555555555555556,0.7555555555555556
990,26,25,25,0.7450980392156863,0.7450980392156863
999,22,18,18,0.7999999999999999,0.7999999999999999
1008,28,21,21,0.6530612244897959,0.6530612244897959
1017,28,21,19,0.7755102040816326,0.7659574468085106
1026,29,22,22,0.7450980392156864,0.7450980392156864
1035,28,22,22,0.7200000000000001,0.7200000000000001
1044,29,20,20,0.6530612244897959,0.6530612244897959
1053,29,23,23,0.6538461538461539,0.6538461538461539
1062,30,19,19,0.6122448979591837,0.6122448979591837
1071,30,21,21,0.6666666666666666,0.6666666666666666
1080,30,22,22,0.576923076923077,0.576923076923077
1089,29,20,20,0.6530612244897959,0.6530612244897959
1098,28,19,19,0.5957446808510638,0.5957446808510638
1107,26,20,19,0.6956521739130435,0.7111111111111111
1116,27,20,20,0.723404255319149,0.723404255319149
1125,27,20,20,0.6808510638297872,0.6808510638297872
1134,28,21,21,0.7346938775510204,0.7346938775510204
1143,28,18,18,0.6956521739130435,0.6956521739130435
1152,28,20,20,0.6666666666666666,0.6666666666666666
1161,28,20,20,0.6666666666666666,0.6666666666666666
1170,28,21,22,0.7346938775510204,0.76
1179,28,20,20,0.7083333333333333,0.7083333333333333
1188,28,19,19,0.7234042553191489,0.6808510638297872
1197,26,22,23,0.7083333333333333,0.7346938775510203
1206,28,22,22,0.84,0.84
1215,29,25,25,0.7777777777777777,0.7777777777777777
1224,29,25,25,0.7777777777777777,0.7777777777777777
