frame,n_gt,n_box_ego,n_box_collab,n_box_L,f1_E,f1_L,n_cw_L,B_L_msym
62,28,21,22,25,0.8571428571428571,0.9433962264150945,9,0.00225
63,28,21,22,26,0.8571428571428571,0.962962962962963,9,0.00225
64,28,22,23,27,0.88,0.9818181818181818,10,0.0025
65,28,23,22,28,0.8627450980392156,0.9285714285714286,9,0.00225
66,28,21,24,26,0.8571428571428571,0.9259259259259259,10,0.0025
67,28,22,23,27,0.88,0.9818181818181818,10,0.0025
68,28,22,21,26,0.88,0.962962962962963,9,0.00225
69,28,22,23,27,0.88,0.9454545454545454,10,0.0025
70,28,22,22,26,0.84,0.9259259259259259,9,0.00225
71,28,22,23,27,0.88,0.9818181818181818,10,0.0025
72,28,23,21,27,0.8627450980392156,0.9454545454545454,9,0.00225
73,28,22,21,25,0.88,0.9433962264150945,9,0.00225
74,28,22,25,28,0.88,0.9285714285714286,10,0.0025
75,28,21,20,23,0.8571428571428571,0.9019607843137255,8,0.002
76,28,21,22,26,0.8571428571428571,0.962962962962963,9,0.00225
77,28,22,23,28,0.84,0.9642857142857143,10,0.0025
78,28,22,22,26,0.88,0.962962962962963,9,0.00225
79,28,21,22,26,0.8163265306122449,0.9259259259259259,9,0.00225
80,28,19,23,26,0.8085106382978724,0.962962962962963,10,0.0025
81,28,19,21,23,0.7659574468085106,0.8627450980392156,9,0.00225
82,27,18,21,23,0.8,0.92,9,0.00225
