rate,frame,ri,rj,cw_i,cw_j,dcw,f1_i,f1_j,df1
0.001,1893,0,1,12,12,0,0.9459459459459458,0.9459459459459458,0.0
0.001,1905,0,1,17,17,0,0.9333333333333332,0.9333333333333332,0.0
0.001,1910,0,1,12,12,0,0.9230769230769232,0.9230769230769232,0.0
0.001,1921,0,1,15,15,0,0.9230769230769232,0.9230769230769232,0.0
0.001,1948,0,1,16,16,0,0.935064935064935,0.935064935064935,0.0
0.001,1963,0,1,13,13,0,0.8974358974358975,0.8974358974358975,0.0
0.001,1977,0,1,12,12,0,0.918918918918919,0.918918918918919,0.0
0.001,12,0,2,10,10,0,0.96,0.96,0.0
0.001,62,0,2,12,12,0,0.962962962962963,0.962962962962963,0.0
0.001,64,0,2,18,18,0,0.962962962962963,0.962962962962963,0.0
0.001,77,0,2,9,9,0,0.962962962962963,0.962962962962963,0.0
0.001,89,0,2,12,12,0,0.8571428571428571,0.8571428571428571,0.0
0.001,94,0,2,12,12,0,0.8333333333333334,0.8333333333333334,0.0
0.001,113,0,2,10,10,0,0.9454545454545454,0.9454545454545454,0.0
0.001,126,0,2,13,13,0,0.9803921568627452,0.9803921568627452,0.0
0.001,128,0,2,10,10,0,0.96,0.96,0.0
0.001,144,0,2,14,14,0,1.0,1.0,0.0
0.001,147,0,2,15,15,0,0.9803921568627452,0.9803921568627452,0.0
0.001,154,0,2,15,15,0,0.979591836734694,0.979591836734694,0.0
0.001,187,0,2,13,13,0,0.878048780487805,0.878048780487805,0.0
0.001,195,0,2,15,15,0,0.9,0.9,0.0
0.001,206,0,2,14,14,0,0.975609756097561,0.975609756097561,0.0
0.001,214,0,2,9,9,0,0.9,0.9,0.0
0.001,219,0,2,11,11,0,0.9743589743589745,0.9743589743589745,0.0
0.001,220,0,2,17,17,0,1.0,1.0,0.0
0.001,224,0,2,13,13,0,0.9142857142857144,0.9142857142857144,0.0
0.001,232,0,2,15,15,0,0.8750000000000001,0.9090909090909092,-0.03409090909090906
0.001,248,0,2,15,15,0,0.923076923076923,0.923076923076923,0.0
0.001,255,0,2,17,17,0,0.8333333333333333,0.8333333333333333,0.0
0.001,285,0,2,12,12,0,0.9166666666666666,0.9166666666666666,0.0
0.001,286,0,2,14,14,0,0.9166666666666666,0.9166666666666666,0.0
0.001,288,0,2,11,11,0,0.96,0.96,0.0
0.001,313,0,2,12,12,0,1.0,1.0,0.0
0.001,322,0,2,13,13,0,1.0,1.0,0.0
0.001,381,0,2,12,12,0,0.96,0.96,0.0
0.001,394,0,2,12,12,0,1.0,1.0,0.0
0.001,405,0,2,13,13,0,0.9333333333333332,0.9333333333333332,0.0
0.001,437,0,2,10,10,0,1.0,1.0,0.0
0.001,439,0,2,11,11,0,1.0,1.0,0.0
0.001,447,0,2,14,14,0,1.0,1.0,0.0
0.001,486,0,2,15,15,0,1.0,1.0,0.0
0.001,491,0,2,11,11,0,1.0,1.0,0.0
0.001,497,0,2,11,11,0,1.0,1.0,0.0
0.001,522,0,2,12,12,0,1.0,1.0,0.0
0.001,524,0,2,8,8,0,1.0,1.0,0.0
0.001,537,0,2,10,10,0,1.0,1.0,0.0
0.001,546,0,2,13,13,0,1.0,1.0,0.0
0.001,551,0,2,17,17,0,1.0,1.0,0.0
0.001,582,0,2,10,10,0,1.0,1.0,0.0
