frame,scene,n_cav,n_gt,n_box_coop,n_box_single,f1_coop,f1_single
513,3,2,6,6,5,1.0,0.9090909090909091
522,3,2,6,6,5,1.0,0.9090909090909091
531,3,2,6,6,5,1.0,0.9090909090909091
540,3,2,6,6,5,1.0,0.9090909090909091
549,3,2,6,6,6,1.0,1.0
558,3,2,6,6,5,1.0,0.9090909090909091
567,3,2,7,7,6,1.0,0.923076923076923
576,3,2,7,6,5,0.923076923076923,0.8333333333333333
585,3,2,7,7,6,1.0,0.923076923076923
594,3,2,6,6,7,1.0,0.923076923076923
603,3,2,6,7,7,0.923076923076923,0.923076923076923
612,4,2,23,17,11,0.7999999999999999,0.5882352941176471
621,4,2,22,18,12,0.9,0.7058823529411764
630,4,2,22,18,14,0.9,0.7777777777777778
639,4,2,23,20,19,0.9302325581395349,0.9047619047619047
648,4,2,24,21,21,0.9333333333333333,0.9333333333333333
657,4,2,24,24,24,1.0,1.0
666,4,2,22,20,16,0.9523809523809523,0.7894736842105263
675,5,2,14,16,15,0.9333333333333333,0.9655172413793104
684,5,2,18,18,17,0.9444444444444444,0.9142857142857143
693,5,2,14,15,14,0.9655172413793104,0.8571428571428571
702,5,2,14,16,15,0.8666666666666666,0.8275862068965518
711,5,2,14,14,11,0.9285714285714286,0.7200000000000001
720,6,2,10,11,11,0.9523809523809523,0.761904761904762
729,6,2,10,13,14,0.8695652173913044,0.8333333333333333
738,6,2,9,11,10,0.9,0.9473684210526316
747,6,2,9,13,13,0.8181818181818181,0.8181818181818181
756,6,2,9,14,15,0.782608695652174,0.7499999999999999
765,6,2,9,15,14,0.7499999999999999,0.6956521739130435
774,6,2,9,12,11,0.8571428571428571,0.7999999999999999
783,7,2,18,20,12,0.9473684210526316,0.6
792,7,2,17,23,14,0.85,0.5161290322580646
801,7,2,20,23,12,0.9302325581395349,0.5625000000000001
810,7,2,21,22,14,0.8372093023255814,0.6285714285714286
819,7,2,21,25,17,0.8260869565217391,0.6315789473684211
828,7,2,22,26,16,0.7916666666666666,0.5789473684210527
837,7,2,22,26,16,0.8333333333333333,0.631578947368421
846,7,2,24,29,20,0.830188679245283,0.6363636363636365
855,7,2,25,30,20,0.8363636363636363,0.6222222222222222
864,7,2,22,28,20,0.8,0.6666666666666666
873,7,2,23,24,17,0.7659574468085107,0.65
882,7,2,24,23,19,0.7659574468085107,0.6046511627906976
891,7,2,24,25,14,0.8979591836734694,0.6842105263157894
900,7,2,24,21,12,0.7555555555555556,0.5
909,7,2,25,25,14,0.88,0.5641025641025641
918,7,2,26,21,13,0.8085106382978723,0.5128205128205128
927,7,2,25,20,9,0.7999999999999999,0.47058823529411764
936,7,2,22,19,9,0.8780487804878049,0.5161290322580644
945,7,2,25,20,11,0.8444444444444444,0.5
954,7,2,26,22,10,0.7916666666666666,0.5
963,7,2,26,24,11,0.76,0.4864864864864865
972,7,2,24,20,8,0.8181818181818182,0.375
981,7,2,25,20,9,0.7555555555555556,0.4117647058823529
990,7,2,26,25,11,0.7450980392156863,0.3243243243243243
999,7,2,22,18,8,0.7999999999999999,0.3333333333333333
1008,7,3,28,27,8,0.8363636363636364,0.22222222222222224
1017,7,4,28,26,8,0.9259259259259259,0.3333333333333333
1026,7,3,29,30,9,0.8813559322033899,0.31578947368421056
