split,budget,channel,snr_db,policy,f1,payload_msym,n_frames,bler_F,lambda_star,rho_E,rho_L,rho_F
validate,0.2,awgn,12.0,oracle_lambda,0.8917447353535353,0.5507272727272727,1980,0.0,0.02,0.007575757575757576,0.44696969696969696,0.5454545454545454
validate,0.2,awgn,12.0,catosg,0.8877383474747474,0.48391212121212124,1980,0.0,0.02,0.0065656565656565654,0.5171717171717172,0.4762626262626263
validate,0.2,awgn,14.0,fixed_L,0.855384348989899,0.024000000000000004,1980,0.0,0.02,,,
validate,0.2,awgn,14.0,fixed_F,0.8842759984848485,0.9900000000000001,1980,0.0,0.02,,,
validate,0.2,awgn,14.0,feature_ceiling,0.8842759977560152,0.9900000000000001,1980,0.0,0.02,,,
validate,0.2,awgn,14.0,oracle_masked,0.8926514813131312,0.634739393939394,1980,0.0,0.02,0.0035353535353535356,0.36414141414141415,0.6323232323232323
validate,0.2,awgn,14.0,oracle_lambda,0.8917447353535353,0.5507272727272727,1980,0.0,0.02,0.007575757575757576,0.44696969696969696,0.5454545454545454
validate,0.2,awgn,14.0,catosg,0.8877720176767677,0.48440000000000005,1980,0.0,0.02,0.0065656565656565654,0.5166666666666667,0.4767676767676768
validate,0.2,awgn,16.0,fixed_L,0.855384348989899,0.024000000000000004,1980,0.0,0.02,,,
validate,0.2,awgn,16.0,fixed_F,0.8842759984848485,0.9900000000000001,1980,0.0,0.02,,,
validate,0.2,awgn,16.0,feature_ceiling,0.8842759977560152,0.9900000000000001,1980,0.0,0.02,,,
validate,0.2,awgn,16.0,oracle_masked,0.8926514813131312,0.634739393939394,1980,0.0,0.02,0.0035353535353535356,0.36414141414141415,0.6323232323232323
validate,0.2,awgn,16.0,oracle_lambda,0.8917447353535353,0.5507272727272727,1980,0.0,0.02,0.007575757575757576,0.44696969696969696,0.5454545454545454
validate,0.2,awgn,16.0,catosg,0.8876955227272727,0.4834242424242425,1980,0.0,0.02,0.0065656565656565654,0.5176767676767676,0.47575757575757577
validate,0.2,awgn,18.0,fixed_L,0.855384348989899,0.024000000000000004,1980,0.0,0.02,,,
validate,0.2,awgn,18.0,fixed_F,0.8842759984848485,0.9900000000000001,1980,0.0,0.02,,,
validate,0.2,awgn,18.0,feature_ceiling,0.8842759977560152,0.9900000000000001,1980,0.0,0.02,,,
validate,0.2,awgn,18.0,oracle_masked,0.8926514813131312,0.634739393939394,1980,0.0,0.02,0.0035353535353535356,0.36414141414141415,0.6323232323232323
