realisation,F1_RL,F1_RF,F1_tau,B_RL,B_RF,B_tau,dF_RL_RF,dB_RL_RF,dF_RL_tau,dB_RL_tau
67,0.9068527528129997,0.9138113171049703,0.9097718434563157,0.023672727272727276,0.16235151515151516,0.316239393939394,-0.006958564291970615,-0.1386787878787879,-0.002919090643315969,-0.2925666666666667
68,0.9067324617778727,0.912898285699056,0.9082174062667394,0.023612121212121216,0.16043636363636363,0.3108727272727273,-0.0061658239211832555,-0.1368242424242424,-0.001484944488866713,-0.2872606060606061
69,0.9068198026386226,0.9135544871259969,0.9092183206491645,0.023648484848484853,0.16580303030303029,0.3172151515151515,-0.006734684487374243,-0.14215454545454542,-0.002398518010541917,-0.29356666666666664
70,0.9067199934386263,0.9128929758135081,0.9088285030341572,0.023600000000000003,0.15649696969696972,0.30892121212121215,-0.006172982374881841,-0.1328969696969697,-0.002108509595530883,-0.28532121212121214
71,0.9067417287848517,0.9129930510164004,0.9088077776301675,0.023587878787878793,0.16533939393939395,0.31623939393939393,-0.006251322231548673,-0.14175151515151516,-0.0020660488453158043,-0.29265151515151516
72,0.9068398532546457,0.9133888525154126,0.908994352113349,0.023660606060606063,0.15163030303030306,0.30892121212121215,-0.006548999260766908,-0.127969696969697,-0.0021544988587033354,-0.2852606060606061
73,0.9068149227448539,0.9129576578408564,0.9085212688534532,0.023648484848484853,0.15891212121212123,0.3225818181818182,-0.006142735096002494,-0.13526363636363636,-0.0017063461085993215,-0.29893333333333333
74,0.9067504389475279,0.9127714718827801,0.9086227780139008,0.02362424242424243,0.15458181818181818,0.29623636363636363,-0.006021032935252135,-0.13095757575757574,-0.0018723390663728523,-0.2726121212121212
75,0.9068157141345342,0.9132609768520866,0.9094803690008828,0.023648484848484853,0.15848484848484848,0.30501818181818185,-0.0064452627175524135,-0.13483636363636362,-0.0026646548663485925,-0.281369696969697
76,0.9067398739698963,0.9139916473853865,0.9099550765751492,0.023636363636363643,0.1701939393939394,0.32941212121212127,-0.007251773415490215,-0.14655757575757575,-0.003215202605252876,-0.30577575757575765
77,0.9067374918949358,0.9131600671255489,0.9089381396639822,0.023636363636363643,0.15944848484848487,0.31623939393939393,-0.00642257523061307,-0.13581212121212122,-0.002200647769046382,-0.2926030303030303
78,0.9068526515497406,0.9139459532883037,0.9099392325387536,0.023636363636363643,0.15209393939393936,0.30209090909090913,-0.007093301738563151,-0.12845757575757571,-0.0030865809890130436,-0.2784545454545455
79,0.9068375624461582,0.912737421612579,0.9082919194121849,0.02362424242424243,0.14136060606060608,0.2957484848484849,-0.005899859166420773,-0.11773636363636364,-0.001454356966026693,-0.2721242424242425
