split,budget,channel,snr_db,view,stratum,n,f1_fixedL,f1_catosg,f1_oracle,gain_catosg_minus_L,ci_lo,ci_hi,rho_E,rho_L,rho_F,tercile_q1,tercile_q2
test,0.1,awgn,16.0,reliable_awgn_16dB,medium,730,0.9017486698630137,0.9028412698630137,0.9280886410958905,0.0010926000000000002,0.00020488558219178084,0.0019765529794520545,0.0,0.9260273972602739,0.07397260273972603,0.862745,0.9375
test,0.1,awgn,16.0,reliable_awgn_16dB,hard,727,0.793144325997249,0.7984486079779917,0.8935438610729024,0.005304281980742779,0.0034501297799174693,0.007392457943603851,0.0,0.9408528198074277,0.059147180192572216,0.862745,0.9375
test,0.2,awgn,16.0,reliable_awgn_16dB,easy,713,0.979621716690042,0.9749097854137447,0.9863681697054698,-0.0047119312762973365,-0.007415704172510522,-0.0023583033660589075,0.0,0.6619915848527349,0.3380084151472651,0.862745,0.9375
test,0.2,awgn,16.0,reliable_awgn_16dB,medium,730,0.9017486698630137,0.9073664589041097,0.9280886410958905,0.005617789041095889,0.002702601027397258,0.008499059041095887,0.0,0.6232876712328768,0.3767123287671233,0.862745,0.9375
test,0.2,awgn,16.0,reliable_awgn_16dB,hard,727,0.793144325997249,0.8591659078404401,0.8935438610729024,0.0660215818431912,0.059139100687757906,0.0730150938789546,0.0,0.3796423658872077,0.6203576341127923,0.862745,0.9375
test,0.3,awgn,16.0,reliable_awgn_16dB,easy,713,0.979621716690042,0.9683350813464238,0.9863681697054698,-0.011286635343618515,-0.014552959467040672,-0.008239139130434784,0.0,0.4221598877980365,0.5778401122019635,0.862745,0.9375
test,0.3,awgn,16.0,reliable_awgn_16dB,medium,730,0.9017486698630137,0.9070621082191781,0.9280886410958905,0.0053134383561643786,0.0016439735958904056,0.008935309109589035,0.0,0.3287671232876712,0.6712328767123288,0.862745,0.9375
test,0.3,awgn,16.0,reliable_awgn_16dB,hard,727,0.793144325997249,0.8763327840440165,0.8935438610729024,0.08318845804676754,0.07621222517193947,0.0903625471114168,0.0,0.14167812929848694,0.8583218707015131,0.862745,0.9375
culver,0.1,awgn,16.0,reliable_awgn_16dB,easy,182,0.9409299780219781,0.9409299780219781,0.9609267637362638,0.0,0.0,0.0,0.0,1.0,0.0,0.789474,0.886076
culver,0.1,awgn,16.0,reliable_awgn_16dB,medium,184,0.8448709510869566,0.8448709510869566,0.9052875543478262,0.0,0.0,0.0,0.0,1.0,0.0,0.789474,0.886076
culver,0.1,awgn,16.0,reliable_awgn_16dB,hard,184,0.7551516304347826,0.7558398423913042,0.8596607336956521,0.0006882119565217388,0.0,0.0018250054347826075,0.0,0.9891304347826086,0.010869565217391304,0.789474,0.886076
culver,0.2,awgn,16.0,reliable_awgn_16dB,easy,182,0.9409299780219781,0.9420312252747253,0.9609267637362638,0.0011012472527472522,-4.9596291208791216e-05,0.002472916346153843,0.0,0.945054945054945,0.054945054945054944,0.789474,0.886076
culver,0.2,awgn,16.0,reliable_awgn_16dB,medium,184,0.8448709510869566,0.846964472826087,0.9052875543478262,0.0020935217391304353,0.0007647779891304357,0.0036410191576086944,0.0,0.9456521739130435,0.05434782608695652,0.789474,0.886076
culver,0.2,awgn,16.0,reliable_awgn_16dB,hard,184,0.7551516304347826,0.786186304347826,0.8596607336956521,0.031034673913043483,0.024289647010869567,0.038094259239130436,0.0,0.6195652173913043,0.3804347826086957,0.789474,0.886076
culver,0.3,awgn,16.0,reliable_awgn_16dB,easy,182,0.9409299780219781,0.946512956043956,0.9609267637362638,0.005582978021978022,0.0025241114010989,0.008694471565934062,0.0,0.6428571428571429,0.35714285714285715,0.789474,0.886076
culver,0.3,awgn,16.0,reliable_awgn_16dB,medium,184,0.8448709510869566,0.8806067880434784,0.9052875543478262,0.03573583695652174,0.02973332527173913,0.04169969483695652,0.0,0.46195652173913043,0.5380434782608695,0.789474,0.886076
culver,0.3,awgn,16.0,reliable_awgn_16dB,hard,184,0.7551516304347826,0.8539472934782608,0.8596607336956521,0.09879566304347827,0.08952437595108696,0.10807182853260869,0.0,0.09782608695652174,0.9021739130434783,0.789474,0.886076
