qam,channel,esno_db,bler_cw,k,harq,n_cw_per_fragment,q_fragment,bler_frame,payload_factor,feasible
16,rayleigh,12.0,0.236,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,12.0,0.236,4,0,990,1.0,1.0,1.0,False
16,rayleigh,12.0,0.236,4,1,990,1.0,1.0,2.0,False
16,rayleigh,12.5,0.211,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,12.5,0.211,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,12.5,0.211,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,12.5,0.211,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,12.5,0.211,4,0,990,1.0,1.0,1.0,False
16,rayleigh,12.5,0.211,4,1,990,1.0,1.0,2.0,False
16,rayleigh,13.0,0.1925,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,13.0,0.1925,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,13.0,0.1925,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,13.0,0.1925,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,13.0,0.1925,4,0,990,1.0,1.0,1.0,False
16,rayleigh,13.0,0.1925,4,1,990,1.0,1.0,2.0,False
16,rayleigh,13.5,0.1585,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,13.5,0.1585,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,13.5,0.1585,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,13.5,0.1585,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,13.5,0.1585,4,0,990,1.0,1.0,1.0,False
16,rayleigh,13.5,0.1585,4,1,990,1.0,1.0,2.0,False
16,rayleigh,14.0,0.168,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,14.0,0.168,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,14.0,0.168,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,14.0,0.168,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,14.0,0.168,4,0,990,1.0,1.0,1.0,False
16,rayleigh,14.0,0.168,4,1,990,1.0,1.0,2.0,False
16,rayleigh,14.5,0.145,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,14.5,0.145,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,14.5,0.145,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,14.5,0.145,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,14.5,0.145,4,0,990,1.0,1.0,1.0,False
16,rayleigh,14.5,0.145,4,1,990,1.0,1.0,2.0,False
16,rayleigh,15.0,0.1305,1,0,3960,1.0,1.0,1.0,False
16,rayleigh,15.0,0.1305,1,1,3960,1.0,1.0,2.0,False
16,rayleigh,15.0,0.1305,2,0,1980,1.0,1.0,1.0,False
16,rayleigh,15.0,0.1305,2,1,1980,1.0,1.0,2.0,False
16,rayleigh,15.0,0.1305,4,0,990,1.0,1.0,1.0,False
