fold_scene,candidate_index,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,lambda,n_frames,realised_f1,realised_payload
2021_08_23_19_42_07,14,400,10.0,2,0.5,,0.0,57,0.817163,0.287455
2021_09_09_19_27_35,14,400,10.0,2,0.5,,0.0,459,0.743447,0.286976
2021_09_11_00_33_16,14,400,10.0,2,0.5,,0.0,746,0.872409,0.331364
2021_08_20_21_48_35,15,400,10.0,2,0.5,,0.02,112,0.859072,0.096667
2021_08_21_17_30_41,15,400,10.0,2,0.5,,0.02,157,0.883045,0.030712
2021_08_22_13_37_16,15,400,10.0,2,0.5,,0.02,135,0.969402,0.053004
2021_08_22_22_01_17,15,400,10.0,2,0.5,,0.02,202,0.920853,0.056834
2021_08_23_10_51_24,15,400,10.0,2,0.5,,0.02,64,0.889459,0.081631
2021_08_23_13_17_21,15,400,10.0,2,0.5,,0.02,48,0.917247,0.155727
2021_08_23_19_42_07,15,400,10.0,2,0.5,,0.02,57,0.814585,0.245086
2021_09_09_19_27_35,15,400,10.0,2,0.5,,0.02,459,0.743804,0.283437
2021_09_11_00_33_16,15,400,10.0,2,0.5,,0.02,746,0.872121,0.31812
2021_08_20_21_48_35,16,400,10.0,2,0.5,,0.05,112,0.853169,0.023688
2021_08_21_17_30_41,16,400,10.0,2,0.5,,0.05,157,0.882277,0.024
2021_08_22_13_37_16,16,400,10.0,2,0.5,,0.05,135,0.970554,0.023507
2021_08_22_22_01_17,16,400,10.0,2,0.5,,0.05,202,0.917281,0.006545
2021_08_23_10_51_24,16,400,10.0,2,0.5,,0.05,64,0.886513,0.024
2021_08_23_13_17_21,16,400,10.0,2,0.5,,0.05,48,0.91825,0.024
2021_08_23_19_42_07,16,400,10.0,2,0.5,,0.05,57,0.800953,0.024
2021_09_09_19_27_35,16,400,10.0,2,0.5,,0.05,459,0.744052,0.051455
2021_09_11_00_33_16,16,400,10.0,2,0.5,,0.05,746,0.858642,0.024
2021_08_20_21_48_35,17,400,10.0,2,0.5,,0.1,112,0.85276,0.023571
2021_08_21_17_30_41,17,400,10.0,2,0.5,,0.1,157,0.882277,0.024
2021_08_22_13_37_16,17,400,10.0,2,0.5,,0.1,135,0.971686,0.024
2021_08_22_22_01_17,17,400,10.0,2,0.5,,0.1,202,0.890998,0.0
2021_08_23_10_51_24,17,400,10.0,2,0.5,,0.1,64,0.886513,0.024
2021_08_23_13_17_21,17,400,10.0,2,0.5,,0.1,48,0.91825,0.024
2021_08_23_19_42_07,17,400,10.0,2,0.5,,0.1,57,0.801123,0.033244
2021_09_09_19_27_35,17,400,10.0,2,0.5,,0.1,459,0.744719,0.024
2021_09_11_00_33_16,17,400,10.0,2,0.5,,0.1,746,0.858599,0.02513
2021_08_20_21_48_35,18,400,10.0,2,0.5,,0.2,112,0.85276,0.023571
2021_08_21_17_30_41,18,400,10.0,2,0.5,,0.2,157,0.882277,0.024
2021_08_22_13_37_16,18,400,10.0,2,0.5,,0.2,135,0.965452,0.021156
2021_08_22_22_01_17,18,400,10.0,2,0.5,,0.2,202,0.890998,0.0
2021_08_23_10_51_24,18,400,10.0,2,0.5,,0.2,64,0.886513,0.024
2021_08_23_13_17_21,18,400,10.0,2,0.5,,0.2,48,0.91825,0.024
2021_08_23_19_42_07,18,400,10.0,2,0.5,,0.2,57,0.800953,0.024
2021_09_09_19_27_35,18,400,10.0,2,0.5,,0.2,459,0.744719,0.024
2021_09_11_00_33_16,18,400,10.0,2,0.5,,0.2,746,0.858642,0.024
2021_08_20_21_48_35,19,400,10.0,2,0.5,,0.35,112,0.85276,0.023571
2021_08_21_17_30_41,19,400,10.0,2,0.5,,0.35,157,0.882277,0.024
2021_08_22_13_37_16,19,400,10.0,2,0.5,,0.35,135,0.971686,0.024
2021_08_22_22_01_17,19,400,10.0,2,0.5,,0.35,202,0.890998,0.0
2021_08_23_10_51_24,19,400,10.0,2,0.5,,0.35,64,0.886513,0.024
