sample_id,late_num_pred,late_num_gt,late_tp,late_fp,late_fn,late_precision,late_recall,late_f1,late_payload_Mbit,early_num_pred,early_num_gt,early_tp,early_fp,early_fn,early_precision,early_recall,early_f1,early_payload_Mbit,intermediate_num_pred,intermediate_num_gt,intermediate_tp,intermediate_fp,intermediate_fn,intermediate_precision,intermediate_recall,intermediate_f1,intermediate_payload_Mbit,compressed_num_pred,compressed_num_gt,compressed_tp,compressed_fp,compressed_fn,compressed_precision,compressed_recall,compressed_f1,compressed_payload_Mbit,late_f1_gain_over_late,late_gain_per_extra_Mbit,early_f1_gain_over_late,early_gain_per_extra_Mbit,intermediate_f1_gain_over_late,intermediate_gain_per_extra_Mbit,compressed_f1_gain_over_late,compressed_gain_per_extra_Mbit,best_method_by_f1,best_level_by_f1,best_f1,best_payload_Mbit,num_cavs,cav_keys,ego_num_objects,ego_origin_lidar_shape_0,ego_origin_lidar_shape_1,pcd_num_points,pcd_mean_range,pcd_max_range,pcd_std_range,pcd_near_20m,pcd_mid_20_50m,pcd_far_50_80m,pcd_very_far_80m,pcd_front_points,pcd_back_points,pcd_left_points,pcd_right_points,pcd_front_far_30m,pcd_front_far_50m,pcd_density_0_20,pcd_density_20_50,pcd_density_50_80,est_snr_db,bler_16qam,effective_compressed_f1,channel_oracle
1698,36,34,32,4,2,0.8888888888888888,0.9411764705882352,0.9142857142857144,0.024,36,34,34,2,0,0.9444444444444444,1.0,0.9714285714285714,7.68,34,34,34,0,0,1.0,1.0,1.0,126.8,37,34,34,3,0,0.918918918918919,1.0,0.9577464788732396,1.98,0.0,,0.0571428571428571,0.0074638005672488,0.0857142857142857,0.0006761081412434,0.0434607645875252,0.0222192047993482,intermediate,feature_level,1.0,126.8,7,ego|1016|962|971|980|989|998,31,49440,4,49440,11.162298202514648,75.84064483642578,11.009777069091797,42910,5692,838,0,24450,24990,24845,24595,1813,528,34.146693040366145,0.8627713676943508,0.0683958165697478,17.809146780608,0.0,0.9577464788732396,compressed
1699,36,34,33,3,1,0.9166666666666666,0.9705882352941176,0.9428571428571428,0.024,36,34,34,2,0,0.9444444444444444,1.0,0.9714285714285714,7.68,34,34,34,0,0,1.0,1.0,1.0,126.8,37,34,34,3,0,0.918918918918919,1.0,0.9577464788732396,1.98,0.0,,0.0285714285714285,0.0037319002836244,0.0571428571428571,0.0004507387608289,0.0148893360160966,0.0076121349775545,intermediate,feature_level,1.0,126.8,7,ego|1016|962|971|980|989|998,32,49433,4,49433,11.18924617767334,75.83946228027344,11.047015190124512,42886,5684,863,0,24566,24867,24755,24678,1858,555,34.127594447195115,0.8615587586041268,0.0704362645581054,4.478041678939901,1.0,0.0,late
1700,36,34,32,4,2,0.8888888888888888,0.9411764705882352,0.9142857142857144,0.024,37,34,34,3,0,0.918918918918919,1.0,0.9577464788732396,7.68,34,34,33,1,1,0.9705882352941176,0.9705882352941176,0.9705882352941176,126.8,37,34,33,4,1,0.8918918918918919,0.9705882352941176,0.9295774647887324,1.98,0.0,,0.0434607645875252,0.0056766933891751,0.0563025210084033,0.0004441102496403,0.0152917505030182,0.0078178683553262,intermediate,feature_level,0.9705882352941176,126.8,7,ego|1016|962|971|980|989|998,32,49343,4,49343,11.170777320861816,75.82392120361328,11.019770622253418,42842,5650,851,0,24452,24891,24721,24622,1821,554,34.0925803597149,0.856405169970675,0.0694568495236938,9.790903404841451,0.4470467339106735,0.5140128952379655,late
1701,36,34,31,5,3,0.8611111111111112,0.9117647058823528,0.8857142857142858,0.024,36,34,34,2,0,0.9444444444444444,1.0,0.9714285714285714,7.68,34,34,32,2,2,0.9411764705882352,0.9411764705882352,0.9411764705882352,126.8,37,34,33,4,1,0.8918918918918919,0.9705882352941176,0.9295774647887324,1.98,0.0,,0.0857142857142856,0.0111957008508732,0.0554621848739494,0.0004374817384516,0.0438631790744467,0.0224249381771199,early,raw_level,0.9714285714285714,7.68,7,ego|1016|962|971|980|989|998,32,49481,4,49481,11.21325969696045,75.83854675292969,11.09552764892578,42903,5693,885,0,24617,24864,24817,24664,1866,579,34.14112261735793,0.8629229438306287,0.0722318587878601,3.398120105281388,1.0,0.0,late
1702,35,34,32,3,2,0.9142857142857144,0.9411764705882352,0.927536231884058,0.024,36,34,34,2,0,0.9444444444444444,1.0,0.9714285714285714,7.68,34,34,33,1,1,0.9705882352941176,0.9705882352941176,0.9705882352941176,126.8,36,34,33,3,1,0.9166666666666666,0.9705882352941176,0.9428571428571428,1.98,0.0,,0.0438923395445135,0.0057330642038288,0.0430520034100597,0.0003395911166944,0.0153209109730849,0.0078327765711068,early,raw_level,0.9714285714285714,7.68,7,ego|1016|962|971|980|989|998,33,49473,4,49473,11.22070598602295,75.8832015991211,11.123602867126465,42896,5669,908,0,24515,24958,24769,24704,1848,593,34.135552194349714,0.8592851165599569,0.0741090709371492,4.758580003178217,1.0,0.0,late
1703,36,34,31,5,3,0.8611111111111112,0.9117647058823528,0.8857142857142858,0.024,36,34,34,2,0,0.9444444444444444,1.0,0.9714285714285714,7.68,34,34,34,0,0,1.0,1.0,1.0,126.8,37,34,34,3,0,0.918918918918919,1.0,0.9577464788732396,1.98,0.0,,0.0857142857142856,0.0111957008508732,0.1142857142857142,0.0009014775216579,0.0720321931589537,0.0368262746211419,intermediate,feature_level,1.0,126.8,7,ego|1016|962|971|980|989|998,33,49500,4,49500,11.19668674468994,75.8448486328125,11.062051773071287,42956,5655,889,0,24564,24936,24759,24741,1859,579,34.18329867727728,0.8571630506520649,0.0725583304659974,12.267774848402727,0.025,0.9338028169014085,compressed
1704,35,33,31,4,2,0.8857142857142857,0.9393939393939394,0.9117647058823528,0.024,34,33,32,2,1,0.9411764705882352,0.9696969696969696,0.955223880597015,7.68,35,33,33,2,0,0.9428571428571428,1.0,0.9705882352941176,126.8,37,33,32,5,1,0.8648648648648649,0.9696969696969696,0.9142857142857144,1.98,0.0,,0.0434591747146621,0.0056764857255305,0.0588235294117647,0.0004639957832063,0.0025210084033613,0.0012888591019229,intermediate,feature_level,0.9705882352941176,126.8,7,ego|1016|962|971|980|989|998,32,49527,4,49527,11.193297386169434,75.87428283691406,11.064377784729004,43017,5602,908,0,24594,24933,24811,24716,1826,586,34.23184093492031,0.8491295154293311,0.0741090709371492,12.039968775427393,0.025,0.8914285714285715,late
1705,33,32,31,2,1,0.9393939393939394,0.96875,0.953846153846154,0.024,34,32,32,2,0,0.9411764705882352,1.0,0.9696969696969696,7.68,32,32,31,1,1,0.96875,0.96875,0.96875,126.8,36,32,32,4,0,0.8888888888888888,1.0,0.9411764705882352,1.98,0.0,,0.0158508158508158,0.0020703782459268,0.0149038461538461,0.0001175604700719,-0.0126696832579186,-0.0064773431788949,early,raw_level,0.9696969696969696,7.68,7,ego|1016|962|971|980|989|998,31,49542,4,49542,11.212289810180664,75.8399887084961,11.069499969482422,43010,5619,913,0,24589,24953,24784,24758,1840,601,34.22627051191209,0.8517063097460571,0.0745171605348207,7.626157765243242,0.8780381676067568,0.11478760695834653,late
1706,36,32,31,5,1,0.8611111111111112,0.96875,0.911764705882353,0.024,36,32,32,4,0,0.8888888888888888,1.0,0.9411764705882352,7.68,32,32,32,0,0,1.0,1.0,1.0,126.8,35,32,32,3,0,0.9142857142857144,1.0,0.955223880597015,1.98,0.0,,0.0294117647058822,0.0038416620566721,0.0882352941176469,0.0006959936748094,0.0434591747146619,0.022218391980911,intermediate,feature_level,1.0,126.8,7,ego|1016|962|971|980|989|998,31,49627,4,49627,11.262112617492676,75.80223083496094,11.12245273590088,43037,5657,933,0,24604,25023,24881,24746,1847,603,34.2477564292295,0.857466202924621,0.0761495189255068,0.18304160605233877,1.0,0.0,late
1707,37,32,30,7,2,0.8108108108108109,0.9375,0.8695652173913043,0.024,35,32,32,3,0,0.9142857142857144,1.0,0.955223880597015,7.68,32,32,30,2,2,0.9375,0.9375,0.9375,126.8,35,32,31,4,1,0.8857142857142857,0.96875,0.9253731343283582,1.98,0.0,,0.0856586632057107,0.0111884356329298,0.0679347826086956,0.000535864695279,0.0558079169370538,0.0285316548757944,early,raw_level,0.955223880597015,7.68,7,ego|1016|962|971|980|989|998,31,49468,4,49468,11.269914627075195,75.8775863647461,11.108368873596191,42921,5608,939,0,24478,24990,24745,24723,1833,610,34.1554465622362,0.8500389722469991,0.0766392264427126,8.966452171600551,0.6325482613898761,0.34002996707205496,late
