split,budget,rician_K,snr_db,feed,bler_F,F1,payload,rho_feature_request,note
test,0.3,0.0,6.0,rayleigh=0,1.0,0.90113,0.02397,0.0,bracketing variant / not deployed behavior
test,0.3,0.0,8.0,rayleigh=0,1.0,0.90097,0.03023,0.0065,bracketing variant / not deployed behavior
test,0.3,0.0,10.0,rayleigh=0,1.0,0.8447,0.58579,0.5816,bracketing variant / not deployed behavior
test,0.3,0.0,12.0,rayleigh=0,1.0,0.84175,0.6174,0.6143,bracketing variant / not deployed behavior
test,0.3,0.0,14.0,rayleigh=0,1.0,0.84093,0.62675,0.624,bracketing variant / not deployed behavior
test,0.3,0.0,16.0,rayleigh=0,1.0,0.84098,0.62586,0.623,bracketing variant / not deployed behavior
test,0.3,0.0,18.0,rayleigh=0,1.0,0.8411,0.62363,0.6207,bracketing variant / not deployed behavior
test,0.3,0.0,20.0,rayleigh=0,1.0,0.84128,0.62408,0.6212,bracketing variant / not deployed behavior
test,0.1,3.0,0.0,rayleigh=0,1.0,0.90065,0.02385,0.0,bracketing variant / not deployed behavior
test,0.1,3.0,2.0,rayleigh=0,1.0,0.90065,0.02385,0.0,bracketing variant / not deployed behavior
test,0.1,3.0,4.0,rayleigh=0,1.0,0.90065,0.02385,0.0,bracketing variant / not deployed behavior
test,0.1,3.0,6.0,rayleigh=0,1.0,0.901,0.02388,0.0,bracketing variant / not deployed behavior
test,0.1,3.0,8.0,rayleigh=0,1.0,0.901,0.02388,0.0,bracketing variant / not deployed behavior
test,0.1,3.0,10.0,rayleigh=0,1.0,0.88482,0.15974,0.1406,bracketing variant / not deployed behavior
test,0.1,3.0,12.0,rayleigh=0,1.0,0.88054,0.18468,0.1664,bracketing variant / not deployed behavior
test,0.1,3.0,14.0,rayleigh=0,1.0,0.87942,0.19091,0.1728,bracketing variant / not deployed behavior
test,0.1,3.0,16.0,rayleigh=0,1.0,0.87963,0.19047,0.1724,bracketing variant / not deployed behavior
test,0.1,3.0,18.0,rayleigh=0,1.0,0.87957,0.19047,0.1724,bracketing variant / not deployed behavior
test,0.1,3.0,20.0,rayleigh=0,1.0,0.8797,0.19002,0.1719,bracketing variant / not deployed behavior
test,0.2,3.0,0.0,rayleigh=0,1.0,0.90113,0.02398,0.0,bracketing variant / not deployed behavior
test,0.2,3.0,2.0,rayleigh=0,1.0,0.90113,0.02398,0.0,bracketing variant / not deployed behavior
test,0.2,3.0,4.0,rayleigh=0,1.0,0.90113,0.02398,0.0,bracketing variant / not deployed behavior
test,0.2,3.0,6.0,rayleigh=0,1.0,0.90113,0.02398,0.0,bracketing variant / not deployed behavior
test,0.2,3.0,8.0,rayleigh=0,1.0,0.90113,0.024,0.0,bracketing variant / not deployed behavior
test,0.2,3.0,10.0,rayleigh=0,1.0,0.8732,0.27151,0.2562,bracketing variant / not deployed behavior
test,0.2,3.0,12.0,rayleigh=0,1.0,0.87171,0.28442,0.2696,bracketing variant / not deployed behavior
test,0.2,3.0,14.0,rayleigh=0,1.0,0.87121,0.2862,0.2714,bracketing variant / not deployed behavior
test,0.2,3.0,16.0,rayleigh=0,1.0,0.87128,0.2862,0.2714,bracketing variant / not deployed behavior
test,0.2,3.0,18.0,rayleigh=0,1.0,0.87124,0.28531,0.2705,bracketing variant / not deployed behavior
test,0.2,3.0,20.0,rayleigh=0,1.0,0.87143,0.28486,0.27,bracketing variant / not deployed behavior
test,0.3,3.0,0.0,rayleigh=0,1.0,0.90113,0.02397,0.0,bracketing variant / not deployed behavior
test,0.3,3.0,2.0,rayleigh=0,1.0,0.90113,0.02397,0.0,bracketing variant / not deployed behavior
test,0.3,3.0,4.0,rayleigh=0,1.0,0.90113,0.02397,0.0,bracketing variant / not deployed behavior
test,0.3,3.0,6.0,rayleigh=0,1.0,0.90113,0.02397,0.0,bracketing variant / not deployed behavior
test,0.3,3.0,8.0,rayleigh=0,1.0,0.90097,0.03023,0.0065,bracketing variant / not deployed behavior
test,0.3,3.0,10.0,rayleigh=0,1.0,0.8447,0.58579,0.5816,bracketing variant / not deployed behavior
test,0.3,3.0,12.0,rayleigh=0,1.0,0.84175,0.6174,0.6143,bracketing variant / not deployed behavior
test,0.3,3.0,14.0,rayleigh=0,1.0,0.84093,0.62675,0.624,bracketing variant / not deployed behavior
test,0.3,3.0,16.0,rayleigh=0,1.0,0.84098,0.62586,0.623,bracketing variant / not deployed behavior
test,0.3,3.0,18.0,rayleigh=0,1.0,0.8411,0.62363,0.6207,bracketing variant / not deployed behavior
test,0.3,3.0,20.0,rayleigh=0,1.0,0.84128,0.62408,0.6212,bracketing variant / not deployed behavior
test,0.1,10.0,0.0,rayleigh=0,1.0,0.90065,0.02385,0.0,bracketing variant / not deployed behavior
test,0.1,10.0,2.0,rayleigh=0,1.0,0.90065,0.02385,0.0,bracketing variant / not deployed behavior
test,0.1,10.0,4.0,rayleigh=0,1.0,0.90065,0.02385,0.0,bracketing variant / not deployed behavior
test,0.1,10.0,6.0,rayleigh=0,1.0,0.901,0.02388,0.0,bracketing variant / not deployed behavior
test,0.1,10.0,8.0,rayleigh=0,1.0,0.901,0.02388,0.0,bracketing variant / not deployed behavior
test,0.1,10.0,10.0,rayleigh=0,1.0,0.88482,0.15974,0.1406,bracketing variant / not deployed behavior
test,0.1,10.0,12.0,rayleigh=0,1.0,0.88054,0.18468,0.1664,bracketing variant / not deployed behavior
test,0.1,10.0,14.0,rayleigh=0,1.0,0.87942,0.19091,0.1728,bracketing variant / not deployed behavior
test,0.1,10.0,16.0,rayleigh=0,0.958,0.88094,0.19047,0.1724,bracketing variant / not deployed behavior
test,0.1,10.0,18.0,rayleigh=0,0.7071,0.88872,0.19047,0.1724,bracketing variant / not deployed behavior
test,0.1,10.0,20.0,rayleigh=0,0.3531,0.89989,0.19002,0.1719,bracketing variant / not deployed behavior
test,0.2,10.0,0.0,rayleigh=0,1.0,0.90113,0.02398,0.0,bracketing variant / not deployed behavior
test,0.2,10.0,2.0,rayleigh=0,1.0,0.90113,0.02398,0.0,bracketing variant / not deployed behavior
test,0.2,10.0,4.0,rayleigh=0,1.0,0.90113,0.02398,0.0,bracketing variant / not deployed behavior
test,0.2,10.0,6.0,rayleigh=0,1.0,0.90113,0.02398,0.0,bracketing variant / not deployed behavior
test,0.2,10.0,8.0,rayleigh=0,1.0,0.90113,0.024,0.0,bracketing variant / not deployed behavior
test,0.2,10.0,10.0,rayleigh=0,1.0,0.8732,0.27151,0.2562,bracketing variant / not deployed behavior
test,0.2,10.0,12.0,rayleigh=0,1.0,0.87171,0.28442,0.2696,bracketing variant / not deployed behavior
test,0.2,10.0,14.0,rayleigh=0,1.0,0.87121,0.2862,0.2714,bracketing variant / not deployed behavior
test,0.2,10.0,16.0,rayleigh=0,0.958,0.87309,0.2862,0.2714,bracketing variant / not deployed behavior
test,0.2,10.0,18.0,rayleigh=0,0.7071,0.88387,0.28531,0.2705,bracketing variant / not deployed behavior
test,0.2,10.0,20.0,rayleigh=0,0.3531,0.89931,0.28486,0.27,bracketing variant / not deployed behavior
test,0.3,10.0,0.0,rayleigh=0,1.0,0.90113,0.02397,0.0,bracketing variant / not deployed behavior
test,0.3,10.0,2.0,rayleigh=0,1.0,0.90113,0.02397,0.0,bracketing variant / not deployed behavior
test,0.3,10.0,4.0,rayleigh=0,1.0,0.90113,0.02397,0.0,bracketing variant / not deployed behavior
test,0.3,10.0,6.0,rayleigh=0,1.0,0.90113,0.02397,0.0,bracketing variant / not deployed behavior
test,0.3,10.0,8.0,rayleigh=0,1.0,0.90097,0.03023,0.0065,bracketing variant / not deployed behavior
test,0.3,10.0,10.0,rayleigh=0,1.0,0.8447,0.58579,0.5816,bracketing variant / not deployed behavior
test,0.3,10.0,12.0,rayleigh=0,1.0,0.84175,0.6174,0.6143,bracketing variant / not deployed behavior
test,0.3,10.0,14.0,rayleigh=0,1.0,0.84093,0.62675,0.624,bracketing variant / not deployed behavior
test,0.3,10.0,16.0,rayleigh=0,0.958,0.8445,0.62586,0.623,bracketing variant / not deployed behavior
test,0.3,10.0,18.0,rayleigh=0,0.7071,0.86556,0.62363,0.6207,bracketing variant / not deployed behavior
test,0.3,10.0,20.0,rayleigh=0,0.3531,0.89525,0.62408,0.6212,bracketing variant / not deployed behavior
culver,0.1,0.0,0.0,rayleigh=0,1.0,0.87216,0.024,0.0,bracketing variant / not deployed behavior
culver,0.1,0.0,2.0,rayleigh=0,1.0,0.87216,0.024,0.0,bracketing variant / not deployed behavior
culver,0.1,0.0,4.0,rayleigh=0,1.0,0.87216,0.024,0.0,bracketing variant / not deployed behavior
culver,0.1,0.0,6.0,rayleigh=0,1.0,0.87216,0.024,0.0,bracketing variant / not deployed behavior
culver,0.1,0.0,8.0,rayleigh=0,1.0,0.87216,0.024,0.0,bracketing variant / not deployed behavior
culver,0.1,0.0,10.0,rayleigh=0,1.0,0.87032,0.03629,0.0127,bracketing variant / not deployed behavior
culver,0.1,0.0,12.0,rayleigh=0,1.0,0.87001,0.03805,0.0145,bracketing variant / not deployed behavior
culver,0.1,0.0,14.0,rayleigh=0,1.0,0.86985,0.03981,0.0164,bracketing variant / not deployed behavior
culver,0.1,0.0,16.0,rayleigh=0,1.0,0.86985,0.03981,0.0164,bracketing variant / not deployed behavior
culver,0.1,0.0,18.0,rayleigh=0,1.0,0.86985,0.03981,0.0164,bracketing variant / not deployed behavior
culver,0.1,0.0,20.0,rayleigh=0,1.0,0.86985,0.03981,0.0164,bracketing variant / not deployed behavior
culver,0.2,0.0,0.0,rayleigh=0,1.0,0.87216,0.024,0.0,bracketing variant / not deployed behavior
culver,0.2,0.0,2.0,rayleigh=0,1.0,0.87216,0.024,0.0,bracketing variant / not deployed behavior
culver,0.2,0.0,4.0,rayleigh=0,1.0,0.87216,0.024,0.0,bracketing variant / not deployed behavior
culver,0.2,0.0,6.0,rayleigh=0,1.0,0.87216,0.024,0.0,bracketing variant / not deployed behavior
culver,0.2,0.0,8.0,rayleigh=0,1.0,0.87216,0.024,0.0,bracketing variant / not deployed behavior
culver,0.2,0.0,10.0,rayleigh=0,1.0,0.86828,0.08547,0.0636,bracketing variant / not deployed behavior
culver,0.2,0.0,12.0,rayleigh=0,1.0,0.86788,0.09074,0.0691,bracketing variant / not deployed behavior
culver,0.2,0.0,14.0,rayleigh=0,1.0,0.86761,0.0925,0.0709,bracketing variant / not deployed behavior
culver,0.2,0.0,16.0,rayleigh=0,1.0,0.86761,0.08899,0.0673,bracketing variant / not deployed behavior
culver,0.2,0.0,18.0,rayleigh=0,1.0,0.86812,0.08723,0.0655,bracketing variant / not deployed behavior
culver,0.2,0.0,20.0,rayleigh=0,1.0,0.86788,0.08899,0.0673,bracketing variant / not deployed behavior
culver,0.3,0.0,0.0,rayleigh=0,1.0,0.87216,0.024,0.0,bracketing variant / not deployed behavior
culver,0.3,0.0,2.0,rayleigh=0,1.0,0.87216,0.024,0.0,bracketing variant / not deployed behavior
culver,0.3,0.0,4.0,rayleigh=0,1.0,0.87216,0.024,0.0,bracketing variant / not deployed behavior
culver,0.3,0.0,6.0,rayleigh=0,1.0,0.87216,0.024,0.0,bracketing variant / not deployed behavior
culver,0.3,0.0,8.0,rayleigh=0,1.0,0.87216,0.024,0.0,bracketing variant / not deployed behavior
culver,0.3,0.0,10.0,rayleigh=0,1.0,0.82945,0.44904,0.44,bracketing variant / not deployed behavior
culver,0.3,0.0,12.0,rayleigh=0,1.0,0.82198,0.49646,0.4891,bracketing variant / not deployed behavior
culver,0.3,0.0,14.0,rayleigh=0,1.0,0.81699,0.52808,0.5218,bracketing variant / not deployed behavior
culver,0.3,0.0,16.0,rayleigh=0,1.0,0.81601,0.53335,0.5273,bracketing variant / not deployed behavior
culver,0.3,0.0,18.0,rayleigh=0,1.0,0.81565,0.5351,0.5291,bracketing variant / not deployed behavior
culver,0.3,0.0,20.0,rayleigh=0,1.0,0.81578,0.53335,0.5273,bracketing variant / not deployed behavior
culver,0.1,3.0,0.0,rayleigh=0,1.0,0.87216,0.024,0.0,bracketing variant / not deployed behavior
culver,0.1,3.0,2.0,rayleigh=0,1.0,0.87216,0.024,0.0,bracketing variant / not deployed behavior
culver,0.1,3.0,4.0,rayleigh=0,1.0,0.87216,0.024,0.0,bracketing variant / not deployed behavior
culver,0.1,3.0,6.0,rayleigh=0,1.0,0.87216,0.024,0.0,bracketing variant / not deployed behavior
culver,0.1,3.0,8.0,rayleigh=0,1.0,0.87216,0.024,0.0,bracketing variant / not deployed behavior
culver,0.1,3.0,10.0,rayleigh=0,1.0,0.87032,0.03629,0.0127,bracketing variant / not deployed behavior
culver,0.1,3.0,12.0,rayleigh=0,1.0,0.87001,0.03805,0.0145,bracketing variant / not deployed behavior
culver,0.1,3.0,14.0,rayleigh=0,1.0,0.86985,0.03981,0.0164,bracketing variant / not deployed behavior
culver,0.1,3.0,16.0,rayleigh=0,1.0,0.86985,0.03981,0.0164,bracketing variant / not deployed behavior
culver,0.1,3.0,18.0,rayleigh=0,1.0,0.86985,0.03981,0.0164,bracketing variant / not deployed behavior
culver,0.1,3.0,20.0,rayleigh=0,1.0,0.86985,0.03981,0.0164,bracketing variant / not deployed behavior
culver,0.2,3.0,0.0,rayleigh=0,1.0,0.87216,0.024,0.0,bracketing variant / not deployed behavior
culver,0.2,3.0,2.0,rayleigh=0,1.0,0.87216,0.024,0.0,bracketing variant / not deployed behavior
culver,0.2,3.0,4.0,rayleigh=0,1.0,0.87216,0.024,0.0,bracketing variant / not deployed behavior
culver,0.2,3.0,6.0,rayleigh=0,1.0,0.87216,0.024,0.0,bracketing variant / not deployed behavior
