frame,n_cav,has_collab,n_box_p0.0,f1_p0.0,n_box_p0.001,f1_p0.001,lost_elem_frac_p0.001,lost_cw_p0.001,n_box_p0.01,f1_p0.01,lost_elem_frac_p0.01,lost_cw_p0.01,n_box_p0.05,f1_p0.05,lost_elem_frac_p0.05,lost_cw_p0.05,n_box_p0.1,f1_p0.1,lost_elem_frac_p0.1,lost_cw_p0.1,n_box_p0.25,f1_p0.25,lost_elem_frac_p0.25,lost_cw_p0.25,n_box_p0.5,f1_p0.5,lost_elem_frac_p0.5,lost_cw_p0.5
55,2,1,25,0.9433962264150945,25,0.9433962264150945,0.001077,13,25,0.9433962264150945,0.010785,131,24,0.923076923076923,0.050116,627,25,0.9433962264150945,0.096656,1198,24,0.923076923076923,0.252574,3162,27,0.9818181818181818,0.498601,6246
56,2,1,26,0.9259259259259259,26,0.9259259259259259,0.001108,14,26,0.9259259259259259,0.009675,118,26,0.9259259259259259,0.052221,652,23,0.9019607843137255,0.105218,1310,25,0.9433962264150945,0.251606,3137,26,0.9259259259259259,0.504577,6309
57,2,1,27,0.9454545454545454,27,0.9454545454545454,0.000969,13,27,0.9454545454545454,0.009398,118,27,0.9454545454545454,0.051913,646,26,0.962962962962963,0.099579,1243,24,0.8846153846153847,0.254485,3181,26,0.888888888888889,0.510697,6394
58,2,1,25,0.9433962264150945,25,0.9433962264150945,0.001139,14,25,0.9433962264150945,0.009539,121,25,0.9433962264150945,0.050598,629,25,0.9433962264150945,0.095782,1199,25,0.9433962264150945,0.262815,3267,24,0.8846153846153847,0.508168,6361
59,2,1,26,0.962962962962963,26,0.962962962962963,0.001364,19,26,0.9259259259259259,0.009023,112,26,0.962962962962963,0.055273,688,25,0.9433962264150945,0.10684,1330,27,0.9454545454545454,0.251748,3155,27,0.9454545454545454,0.505848,6319
60,2,1,26,0.9259259259259259,26,0.9259259259259259,0.001162,14,26,0.962962962962963,0.010049,124,26,0.9259259259259259,0.053332,672,25,0.9056603773584904,0.101441,1263,26,0.962962962962963,0.256443,3207,25,0.9433962264150945,0.50281,6302
61,2,1,23,0.9019607843137255,23,0.9019607843137255,0.001161,16,23,0.9019607843137255,0.011691,146,24,0.923076923076923,0.048903,617,24,0.923076923076923,0.103137,1281,24,0.923076923076923,0.252566,3155,24,0.923076923076923,0.497074,6219
62,2,1,26,0.962962962962963,26,0.962962962962963,0.000341,5,26,0.962962962962963,0.011475,142,26,0.962962962962963,0.049556,612,24,0.923076923076923,0.100649,1260,24,0.923076923076923,0.253949,3160,25,0.9433962264150945,0.505568,6344
63,2,1,26,0.962962962962963,26,0.962962962962963,0.000542,7,25,0.9433962264150945,0.009421,118,26,0.962962962962963,0.051515,642,24,0.8846153846153847,0.097693,1216,26,0.962962962962963,0.254642,3174,24,0.8846153846153847,0.508596,6366
64,2,1,26,0.962962962962963,26,0.962962962962963,0.000597,8,26,0.962962962962963,0.010518,130,26,0.962962962962963,0.052926,659,24,0.923076923076923,0.103279,1287,27,0.9090909090909091,0.24829,3099,25,0.9433962264150945,0.516999,6470
65,2,1,26,0.962962962962963,26,0.962962962962963,0.001278,15,26,0.962962962962963,0.008144,106,27,0.9454545454545454,0.053032,668,24,0.923076923076923,0.096278,1209,27,0.9454545454545454,0.25535,3198,25,0.9056603773584904,0.499912,6245
66,2,1,25,0.9433962264150945,25,0.9433962264150945,0.000937,12,25,0.9433962264150945,0.011273,140,25,0.9433962264150945,0.052534,651,25,0.9433962264150945,0.101503,1262,26,0.9259259259259259,0.252887,3146,25,0.9433962264150945,0.503647,6310
67,2,1,25,0.9433962264150945,25,0.9433962264150945,0.000767,10,25,0.9433962264150945,0.008598,108,24,0.923076923076923,0.051466,642,24,0.923076923076923,0.103638,1299,23,0.9019607843137255,0.253964,3156,24,0.923076923076923,0.509345,6372
68,2,1,26,0.962962962962963,26,0.962962962962963,0.001185,15,25,0.9433962264150945,0.010373,130,24,0.923076923076923,0.055652,692,25,0.8679245283018867,0.096104,1197,23,0.9019607843137255,0.253661,3167,24,0.923076923076923,0.49661,6208
69,2,1,26,0.9259259259259259,26,0.9259259259259259,0.000937,12,26,0.9259259259259259,0.009444,114,26,0.9259259259259259,0.052547,656,25,0.9433962264150945,0.099536,1249,24,0.923076923076923,0.255801,3189,24,0.8846153846153847,0.498317,6238
70,2,1,25,0.9056603773584904,25,0.9056603773584904,0.000937,12,25,0.9056603773584904,0.010016,123,26,0.888888888888889,0.050943,632,25,0.9056603773584904,0.098329,1239,25,0.9056603773584904,0.254249,3179,24,0.8846153846153847,0.502428,6285
71,2,1,26,0.962962962962963,26,0.962962962962963,0.001449,18,26,0.962962962962963,0.011288,138,25,0.9433962264150945,0.049651,620,25,0.9433962264150945,0.101929,1283,24,0.923076923076923,0.256806,3208,23,0.9019607843137255,0.508156,6356
72,2,1,25,0.9433962264150945,25,0.9433962264150945,0.001534,19,25,0.9433962264150945,0.010146,126,25,0.9056603773584904,0.047132,588,26,0.9259259259259259,0.10345,1293,25,0.8679245283018867,0.25901,3241,26,0.888888888888889,0.507384,6344
73,2,1,25,0.9433962264150945,25,0.9433962264150945,0.001162,14,25,0.9433962264150945,0.010088,126,25,0.9433962264150945,0.048079,596,25,0.9433962264150945,0.100755,1253,25,0.9433962264150945,0.25209,3149,23,0.9019607843137255,0.49638,6210
74,2,1,25,0.9433962264150945,25,0.9433962264150945,0.001565,20,25,0.9433962264150945,0.00915,117,25,0.9433962264150945,0.051783,648,25,0.9433962264150945,0.097409,1211,26,0.962962962962963,0.253954,3183,25,0.9433962264150945,0.498017,6240
