fold_scene,candidate_index,n_frames,lambda,realised_f1,realised_payload
2021_08_22_13_37_16,20,135,0.5,0.971686,0.024
2021_08_22_22_01_17,20,202,0.5,0.98737,0.024
2021_08_23_10_51_24,20,64,0.5,0.886513,0.024
2021_08_23_13_17_21,20,48,0.5,0.91825,0.024
2021_08_23_19_42_07,20,57,0.5,0.800953,0.024
2021_09_09_19_27_35,20,459,0.5,0.744719,0.024
2021_09_11_00_33_16,20,746,0.5,0.858642,0.024
2021_08_20_21_48_35,21,112,0.0,0.812646,0.315
2021_08_21_17_30_41,21,157,0.0,0.835295,0.315
2021_08_22_13_37_16,21,135,0.0,0.941959,0.315
2021_08_22_22_01_17,21,202,0.0,0.919658,0.315
2021_08_23_10_51_24,21,64,0.0,0.807606,0.315
2021_08_23_13_17_21,21,48,0.0,0.83354,0.315
2021_08_23_19_42_07,21,57,0.0,0.80277,0.315
2021_09_09_19_27_35,21,459,0.0,0.576226,0.315
2021_09_11_00_33_16,21,746,0.0,0.815093,0.315
2021_08_20_21_48_35,22,112,0.02,0.824357,0.274364
2021_08_21_17_30_41,22,157,0.02,0.843433,0.273273
2021_08_22_13_37_16,22,135,0.02,0.966596,0.283091
2021_08_22_22_01_17,22,202,0.02,0.987151,0.287455
2021_08_23_10_51_24,22,64,0.02,0.837431,0.276545
2021_08_23_13_17_21,22,48,0.02,0.89152,0.282
2021_08_23_19_42_07,22,57,0.02,0.801573,0.271091
2021_09_09_19_27_35,22,459,0.02,0.739304,0.331364
2021_09_11_00_33_16,22,746,0.02,0.861097,0.284182
2021_08_20_21_48_35,23,112,0.05,0.816444,0.272182
2021_08_21_17_30_41,23,157,0.05,0.835724,0.271091
2021_08_22_13_37_16,23,135,0.05,0.949053,0.274364
2021_08_22_22_01_17,23,202,0.05,0.925823,0.272182
2021_08_23_10_51_24,23,64,0.05,0.809135,0.271091
2021_08_23_13_17_21,23,48,0.05,0.835668,0.271091
2021_08_23_19_42_07,23,57,0.05,0.801573,0.271091
2021_09_09_19_27_35,23,459,0.05,0.635054,0.276545
2021_09_11_00_33_16,23,746,0.05,0.819065,0.272182
2021_08_20_21_48_35,24,112,0.1,0.871837,0.287455
2021_08_21_17_30_41,24,157,0.1,0.893544,0.287455
2021_08_22_13_37_16,24,135,0.1,0.975367,0.287455
2021_08_22_22_01_17,24,202,0.1,0.987151,0.287455
2021_08_23_10_51_24,24,64,0.1,0.894023,0.287455
2021_08_23_13_17_21,24,48,0.1,0.919446,0.287455
2021_08_23_19_42_07,24,57,0.1,0.816124,0.286364
2021_09_09_19_27_35,24,459,0.1,0.743773,0.287455
2021_09_11_00_33_16,24,746,0.1,0.86874,0.286364
2021_08_20_21_48_35,25,112,0.2,0.871837,0.287455
2021_08_21_17_30_41,25,157,0.2,0.889689,0.286364
2021_08_22_13_37_16,25,135,0.2,0.973174,0.286364
2021_08_22_22_01_17,25,202,0.2,0.987151,0.287455
2021_08_23_10_51_24,25,64,0.2,0.894023,0.287455
2021_08_23_13_17_21,25,48,0.2,0.919446,0.287455
2021_08_23_19_42_07,25,57,0.2,0.817163,0.287455
2021_09_09_19_27_35,25,459,0.2,0.743773,0.287455
2021_09_11_00_33_16,25,746,0.2,0.872561,0.287455
2021_08_20_21_48_35,26,112,0.35,0.842391,0.020727
2021_08_21_17_30_41,26,157,0.35,0.870713,0.020727
2021_08_22_13_37_16,26,135,0.35,0.9673,0.021818
2021_08_22_22_01_17,26,202,0.35,0.982989,0.022909
2021_08_23_10_51_24,26,64,0.35,0.852558,0.017455
2021_08_23_13_17_21,26,48,0.35,0.901494,0.020727
2021_08_23_19_42_07,26,57,0.35,0.797835,0.020727
2021_09_09_19_27_35,26,459,0.35,0.712103,0.020727
2021_09_11_00_33_16,26,746,0.35,0.854821,0.022909
2021_08_20_21_48_35,27,112,0.5,0.834478,0.018545
2021_08_21_17_30_41,27,157,0.5,0.866858,0.019636
2021_08_22_13_37_16,27,135,0.5,0.969493,0.022909
2021_08_22_22_01_17,27,202,0.5,0.978609,0.021818
2021_08_23_10_51_24,27,64,0.5,0.863876,0.019636
2021_08_23_13_17_21,27,48,0.5,0.901494,0.020727
2021_08_23_19_42_07,27,57,0.5,0.797835,0.020727
2021_09_09_19_27_35,27,459,0.5,0.712103,0.020727
2021_09_11_00_33_16,27,746,0.5,0.851,0.021818
2021_08_20_21_48_35,28,112,0.0,0.871837,0.287455
2021_08_21_17_30_41,28,157,0.0,0.893544,0.287455
2021_08_22_13_37_16,28,135,0.0,0.975367,0.287455
2021_08_22_22_01_17,28,202,0.0,0.987151,0.287455
2021_08_23_10_51_24,28,64,0.0,0.894023,0.287455
2021_08_23_13_17_21,28,48,0.0,0.919446,0.287455
2021_08_23_19_42_07,28,57,0.0,0.817163,0.287455
2021_09_09_19_27_35,28,459,0.0,0.743773,0.287455
2021_09_11_00_33_16,28,746,0.0,0.858642,0.024
2021_08_20_21_48_35,29,112,0.02,0.871837,0.287455
2021_08_21_17_30_41,29,157,0.02,0.893544,0.287455
2021_08_22_13_37_16,29,135,0.02,0.975367,0.287455
2021_08_22_22_01_17,29,202,0.02,0.987151,0.287455
2021_08_23_10_51_24,29,64,0.02,0.894023,0.287455
2021_08_23_13_17_21,29,48,0.02,0.919446,0.287455
2021_08_23_19_42_07,29,57,0.02,0.817163,0.287455
2021_09_09_19_27_35,29,459,0.02,0.743773,0.287455
2021_09_11_00_33_16,29,746,0.02,0.858642,0.024
2021_08_20_21_48_35,30,112,0.05,0.854261,0.024
2021_08_21_17_30_41,30,157,0.05,0.882277,0.024
2021_08_22_13_37_16,30,135,0.05,0.971686,0.024
2021_08_22_22_01_17,30,202,0.05,0.98737,0.024
2021_08_23_10_51_24,30,64,0.05,0.886513,0.024
2021_08_23_13_17_21,30,48,0.05,0.91825,0.024
2021_08_23_19_42_07,30,57,0.05,0.800953,0.024
2021_09_09_19_27_35,30,459,0.05,0.744719,0.024
2021_09_11_00_33_16,30,746,0.05,0.858642,0.024
2021_08_20_21_48_35,31,112,0.1,0.854261,0.024
2021_08_21_17_30_41,31,157,0.1,0.882277,0.024
2021_08_22_13_37_16,31,135,0.1,0.971686,0.024
2021_08_22_22_01_17,31,202,0.1,0.98737,0.024
2021_08_23_10_51_24,31,64,0.1,0.886513,0.024
2021_08_23_13_17_21,31,48,0.1,0.91825,0.024
2021_08_23_19_42_07,31,57,0.1,0.800953,0.024
2021_09_09_19_27_35,31,459,0.1,0.744719,0.024
2021_09_11_00_33_16,31,746,0.1,0.858642,0.024
2021_08_20_21_48_35,32,112,0.2,0.854261,0.024
2021_08_21_17_30_41,32,157,0.2,0.882277,0.024
2021_08_22_13_37_16,32,135,0.2,0.971686,0.024
2021_08_22_22_01_17,32,202,0.2,0.98737,0.024
2021_08_23_10_51_24,32,64,0.2,0.886513,0.024
2021_08_23_13_17_21,32,48,0.2,0.91825,0.024
2021_08_23_19_42_07,32,57,0.2,0.800953,0.024
2021_09_09_19_27_35,32,459,0.2,0.744719,0.024
2021_09_11_00_33_16,32,746,0.2,0.858642,0.024
2021_08_20_21_48_35,33,112,0.35,0.854261,0.024
2021_08_21_17_30_41,33,157,0.35,0.882277,0.024
2021_08_22_13_37_16,33,135,0.35,0.971686,0.024
2021_08_22_22_01_17,33,202,0.35,0.98737,0.024
2021_08_23_10_51_24,33,64,0.35,0.886513,0.024
2021_08_23_13_17_21,33,48,0.35,0.91825,0.024
2021_08_23_19_42_07,33,57,0.35,0.800953,0.024
2021_09_09_19_27_35,33,459,0.35,0.744719,0.024
2021_09_11_00_33_16,33,746,0.35,0.858642,0.024
2021_08_20_21_48_35,34,112,0.5,0.854261,0.024
2021_08_21_17_30_41,34,157,0.5,0.882277,0.024
2021_08_22_13_37_16,34,135,0.5,0.971686,0.024
2021_08_22_22_01_17,34,202,0.5,0.98737,0.024
2021_08_23_10_51_24,34,64,0.5,0.886513,0.024
2021_08_23_13_17_21,34,48,0.5,0.91825,0.024
2021_08_23_19_42_07,34,57,0.5,0.800953,0.024
2021_09_09_19_27_35,34,459,0.5,0.744719,0.024
2021_09_11_00_33_16,34,746,0.5,0.858642,0.024
2021_08_20_21_48_35,35,112,0.0,0.812646,0.315
2021_08_21_17_30_41,35,157,0.0,0.835295,0.315
2021_08_22_13_37_16,35,135,0.0,0.941959,0.315
2021_08_22_22_01_17,35,202,0.0,0.919658,0.315
2021_08_23_10_51_24,35,64,0.0,0.807606,0.315
2021_08_23_13_17_21,35,48,0.0,0.83354,0.315
2021_08_23_19_42_07,35,57,0.0,0.80277,0.315
2021_09_09_19_27_35,35,459,0.0,0.576226,0.315
2021_09_11_00_33_16,35,746,0.0,0.815093,0.315
2021_08_20_21_48_35,36,112,0.02,0.824357,0.274364
2021_08_21_17_30_41,36,157,0.02,0.843433,0.273273
2021_08_22_13_37_16,36,135,0.02,0.966596,0.283091
2021_08_22_22_01_17,36,202,0.02,0.987151,0.287455
2021_08_23_10_51_24,36,64,0.02,0.837431,0.276545
2021_08_23_13_17_21,36,48,0.02,0.89152,0.282
2021_08_23_19_42_07,36,57,0.02,0.801573,0.271091
2021_09_09_19_27_35,36,459,0.02,0.739304,0.331364
2021_09_11_00_33_16,36,746,0.02,0.861097,0.284182
2021_08_20_21_48_35,37,112,0.05,0.816444,0.272182
2021_08_21_17_30_41,37,157,0.05,0.835724,0.271091
2021_08_22_13_37_16,37,135,0.05,0.949053,0.274364
2021_08_22_22_01_17,37,202,0.05,0.925823,0.272182
2021_08_23_10_51_24,37,64,0.05,0.809135,0.271091
2021_08_23_13_17_21,37,48,0.05,0.835668,0.271091
2021_08_23_19_42_07,37,57,0.05,0.801573,0.271091
2021_09_09_19_27_35,37,459,0.05,0.635054,0.276545
2021_09_11_00_33_16,37,746,0.05,0.819065,0.272182
2021_08_20_21_48_35,38,112,0.1,0.871837,0.287455
2021_08_21_17_30_41,38,157,0.1,0.893544,0.287455
2021_08_22_13_37_16,38,135,0.1,0.975367,0.287455
2021_08_22_22_01_17,38,202,0.1,0.987151,0.287455
2021_08_23_10_51_24,38,64,0.1,0.894023,0.287455
2021_08_23_13_17_21,38,48,0.1,0.919446,0.287455
2021_08_23_19_42_07,38,57,0.1,0.816124,0.286364
2021_09_09_19_27_35,38,459,0.1,0.743773,0.287455
2021_09_11_00_33_16,38,746,0.1,0.86874,0.286364
2021_08_20_21_48_35,39,112,0.2,0.871837,0.287455
2021_08_21_17_30_41,39,157,0.2,0.889689,0.286364
2021_08_22_13_37_16,39,135,0.2,0.973174,0.286364
2021_08_22_22_01_17,39,202,0.2,0.987151,0.287455
2021_08_23_10_51_24,39,64,0.2,0.894023,0.287455
2021_08_23_13_17_21,39,48,0.2,0.919446,0.287455
2021_08_23_19_42_07,39,57,0.2,0.817163,0.287455
2021_09_09_19_27_35,39,459,0.2,0.743773,0.287455
2021_09_11_00_33_16,39,746,0.2,0.872561,0.287455
2021_08_20_21_48_35,40,112,0.35,0.842391,0.020727
2021_08_21_17_30_41,40,157,0.35,0.870713,0.020727
2021_08_22_13_37_16,40,135,0.35,0.9673,0.021818
2021_08_22_22_01_17,40,202,0.35,0.982989,0.022909
2021_08_23_10_51_24,40,64,0.35,0.852558,0.017455
2021_08_23_13_17_21,40,48,0.35,0.901494,0.020727
2021_08_23_19_42_07,40,57,0.35,0.797835,0.020727
2021_09_09_19_27_35,40,459,0.35,0.712103,0.020727
2021_09_11_00_33_16,40,746,0.35,0.854821,0.022909
2021_08_20_21_48_35,41,112,0.5,0.834478,0.018545
2021_08_21_17_30_41,41,157,0.5,0.866858,0.019636
2021_08_22_13_37_16,41,135,0.5,0.969493,0.022909
2021_08_22_22_01_17,41,202,0.5,0.978609,0.021818
2021_08_23_10_51_24,41,64,0.5,0.863876,0.019636
2021_08_23_13_17_21,41,48,0.5,0.901494,0.020727
2021_08_23_19_42_07,41,57,0.5,0.797835,0.020727
2021_09_09_19_27_35,41,459,0.5,0.712103,0.020727
2021_09_11_00_33_16,41,746,0.5,0.851,0.021818
2021_08_20_21_48_35,42,112,0.0,0.871837,0.287455
2021_08_21_17_30_41,42,157,0.0,0.893544,0.287455
2021_08_22_13_37_16,42,135,0.0,0.975367,0.287455
