fold_scene,candidate_index,n_frames,lambda,realised_f1,realised_payload
2021_08_20_21_48_35,101,112,0.1,0.854261,0.024
2021_08_21_17_30_41,101,157,0.1,0.882277,0.024
2021_08_22_13_37_16,101,135,0.1,0.971686,0.024
2021_08_22_22_01_17,101,202,0.1,0.98737,0.024
2021_08_23_10_51_24,101,64,0.1,0.886513,0.024
2021_08_23_13_17_21,101,48,0.1,0.91825,0.024
2021_08_23_19_42_07,101,57,0.1,0.800953,0.024
2021_09_09_19_27_35,101,459,0.1,0.744719,0.024
2021_09_11_00_33_16,101,746,0.1,0.858642,0.024
2021_08_20_21_48_35,102,112,0.2,0.854261,0.024
2021_08_21_17_30_41,102,157,0.2,0.882277,0.024
2021_08_22_13_37_16,102,135,0.2,0.971686,0.024
2021_08_22_22_01_17,102,202,0.2,0.98737,0.024
2021_08_23_10_51_24,102,64,0.2,0.886513,0.024
2021_08_23_13_17_21,102,48,0.2,0.91825,0.024
2021_08_23_19_42_07,102,57,0.2,0.800953,0.024
2021_09_09_19_27_35,102,459,0.2,0.744719,0.024
2021_09_11_00_33_16,102,746,0.2,0.858642,0.024
2021_08_20_21_48_35,103,112,0.35,0.854261,0.024
2021_08_21_17_30_41,103,157,0.35,0.882277,0.024
2021_08_22_13_37_16,103,135,0.35,0.971686,0.024
2021_08_22_22_01_17,103,202,0.35,0.98737,0.024
2021_08_23_10_51_24,103,64,0.35,0.886513,0.024
2021_08_23_13_17_21,103,48,0.35,0.91825,0.024
2021_08_23_19_42_07,103,57,0.35,0.800953,0.024
2021_09_09_19_27_35,103,459,0.35,0.744719,0.024
2021_09_11_00_33_16,103,746,0.35,0.858642,0.024
2021_08_20_21_48_35,104,112,0.5,0.854261,0.024
2021_08_21_17_30_41,104,157,0.5,0.882277,0.024
2021_08_22_13_37_16,104,135,0.5,0.971686,0.024
2021_08_22_22_01_17,104,202,0.5,0.98737,0.024
2021_08_23_10_51_24,104,64,0.5,0.886513,0.024
2021_08_23_13_17_21,104,48,0.5,0.91825,0.024
2021_08_23_19_42_07,104,57,0.5,0.800953,0.024
2021_09_09_19_27_35,104,459,0.5,0.744719,0.024
2021_09_11_00_33_16,104,746,0.5,0.858642,0.024
2021_08_20_21_48_35,105,112,0.0,0.812646,0.315
2021_08_21_17_30_41,105,157,0.0,0.835295,0.315
2021_08_22_13_37_16,105,135,0.0,0.941959,0.315
2021_08_22_22_01_17,105,202,0.0,0.919658,0.315
2021_08_23_10_51_24,105,64,0.0,0.807606,0.315
2021_08_23_13_17_21,105,48,0.0,0.83354,0.315
2021_08_23_19_42_07,105,57,0.0,0.80277,0.315
2021_09_09_19_27_35,105,459,0.0,0.576226,0.315
2021_09_11_00_33_16,105,746,0.0,0.815093,0.315
2021_08_20_21_48_35,106,112,0.02,0.824357,0.274364
2021_08_21_17_30_41,106,157,0.02,0.843433,0.273273
2021_08_22_13_37_16,106,135,0.02,0.966596,0.283091
2021_08_22_22_01_17,106,202,0.02,0.987151,0.287455
2021_08_23_10_51_24,106,64,0.02,0.837431,0.276545
2021_08_23_13_17_21,106,48,0.02,0.89152,0.282
2021_08_23_19_42_07,106,57,0.02,0.801573,0.271091
2021_09_09_19_27_35,106,459,0.02,0.739304,0.331364
2021_09_11_00_33_16,106,746,0.02,0.861097,0.284182
2021_08_20_21_48_35,107,112,0.05,0.816444,0.272182
2021_08_21_17_30_41,107,157,0.05,0.835724,0.271091
2021_08_22_13_37_16,107,135,0.05,0.949053,0.274364
2021_08_22_22_01_17,107,202,0.05,0.925823,0.272182
2021_08_23_10_51_24,107,64,0.05,0.809135,0.271091
2021_08_23_13_17_21,107,48,0.05,0.835668,0.271091
2021_08_23_19_42_07,107,57,0.05,0.801573,0.271091
2021_09_09_19_27_35,107,459,0.05,0.635054,0.276545
2021_09_11_00_33_16,107,746,0.05,0.819065,0.272182
2021_08_20_21_48_35,108,112,0.1,0.871837,0.287455
2021_08_21_17_30_41,108,157,0.1,0.893544,0.287455
2021_08_22_13_37_16,108,135,0.1,0.975367,0.287455
2021_08_22_22_01_17,108,202,0.1,0.987151,0.287455
2021_08_23_10_51_24,108,64,0.1,0.894023,0.287455
2021_08_23_13_17_21,108,48,0.1,0.919446,0.287455
2021_08_23_19_42_07,108,57,0.1,0.816124,0.286364
2021_09_09_19_27_35,108,459,0.1,0.743773,0.287455
2021_09_11_00_33_16,108,746,0.1,0.86874,0.286364
2021_08_20_21_48_35,109,112,0.2,0.871837,0.287455
2021_08_21_17_30_41,109,157,0.2,0.889689,0.286364
2021_08_22_13_37_16,109,135,0.2,0.973174,0.286364
2021_08_22_22_01_17,109,202,0.2,0.987151,0.287455
2021_08_23_10_51_24,109,64,0.2,0.894023,0.287455
2021_08_23_13_17_21,109,48,0.2,0.919446,0.287455
2021_08_23_19_42_07,109,57,0.2,0.817163,0.287455
2021_09_09_19_27_35,109,459,0.2,0.743773,0.287455
2021_09_11_00_33_16,109,746,0.2,0.872561,0.287455
2021_08_20_21_48_35,110,112,0.35,0.842391,0.020727
2021_08_21_17_30_41,110,157,0.35,0.870713,0.020727
2021_08_22_13_37_16,110,135,0.35,0.9673,0.021818
2021_08_22_22_01_17,110,202,0.35,0.982989,0.022909
2021_08_23_10_51_24,110,64,0.35,0.852558,0.017455
2021_08_23_13_17_21,110,48,0.35,0.901494,0.020727
2021_08_23_19_42_07,110,57,0.35,0.797835,0.020727
2021_09_09_19_27_35,110,459,0.35,0.712103,0.020727
2021_09_11_00_33_16,110,746,0.35,0.854821,0.022909
2021_08_20_21_48_35,111,112,0.5,0.834478,0.018545
2021_08_21_17_30_41,111,157,0.5,0.866858,0.019636
2021_08_22_13_37_16,111,135,0.5,0.969493,0.022909
2021_08_22_22_01_17,111,202,0.5,0.978609,0.021818
2021_08_23_10_51_24,111,64,0.5,0.863876,0.019636
2021_08_23_13_17_21,111,48,0.5,0.901494,0.020727
2021_08_23_19_42_07,111,57,0.5,0.797835,0.020727
2021_09_09_19_27_35,111,459,0.5,0.712103,0.020727
2021_09_11_00_33_16,111,746,0.5,0.851,0.021818
